datetime,macd,signal,histogram,hist_color,macd_cross_up,macd_cross_down,macd_above_zero,macd_zero_cross_up,macd_zero_cross_down,bullish_momentum,bearish_momentum,weakening_bullish,weakening_bearish,macd_peak,macd_trough
2022-07-04 00:00:00+03:00,0.0,,,gray,False,False,False,False,False,False,False,False,False,False,False
2022-07-05 00:00:00+03:00,-0.14376344164551824,,,gray,False,False,False,False,True,False,False,False,False,False,True
2022-07-06 00:00:00+03:00,-0.03154854742699342,,,gray,False,False,False,False,False,False,False,False,False,False,False
2022-07-07 00:00:00+03:00,0.16265949324974827,,,gray,False,False,True,True,False,False,False,False,False,False,False
2022-07-08 00:00:00+03:00,0.32809566604349527,,,gray,False,False,True,False,False,False,False,False,False,False,False
2022-07-13 00:00:00+03:00,0.3329085128778928,,,gray,False,False,True,False,False,False,False,False,False,True,False
2022-07-14 00:00:00+03:00,0.19668765506041552,,,gray,False,False,True,False,False,False,False,False,False,False,True
2022-07-18 00:00:00+03:00,0.2693170879961002,,,gray,False,False,True,False,False,False,False,False,False,False,False
2022-07-19 00:00:00+03:00,0.3988159021327675,0.16813025869865644,0.23068564343411108,gray,False,False,True,False,False,False,False,False,False,False,False
2022-07-20 00:00:00+03:00,0.4919470400805608,0.22279104092982985,0.26915599915073096,aqua,False,False,True,False,False,True,False,False,False,True,False
2022-07-21 00:00:00+03:00,0.4912079084976142,0.2933434131679557,0.1978644953296585,blue,False,False,True,False,False,False,False,True,False,False,True
2022-07-22 00:00:00+03:00,0.5077310412128355,0.35326336746127,0.1544676737515655,blue,False,False,True,False,False,False,False,True,False,False,False
2022-07-25 00:00:00+03:00,0.6283875404388084,0.40501092826005447,0.22337661217875393,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-07-26 00:00:00+03:00,0.8670881970905526,0.46489898726528306,0.40218920982526957,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-07-27 00:00:00+03:00,1.2031190211530856,0.5615890437403045,0.6415299774127811,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-07-28 00:00:00+03:00,1.448897139880188,0.7007234309425014,0.7481737089376865,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-07-29 00:00:00+03:00,1.7611432560232458,0.8664818940566287,0.8946613619666172,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-01 00:00:00+03:00,2.2164891386833148,1.0684455870066896,1.1480435516766252,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-02 00:00:00+03:00,2.419350970517101,1.2826015792774161,1.1367493912396849,blue,False,False,True,False,False,False,False,True,False,False,False
