datetime,wt1,wt2,wt_diff,cross_up,cross_down,overbought,oversold,extreme_overbought,extreme_oversold,buy_signal,sell_signal,strong_buy,strong_sell,wt1_peak,wt1_trough,momentum,momentum_increasing,momentum_decreasing,ob_level1,ob_level2,os_level1,os_level2
2022-07-04 00:00:00+03:00,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,60,53,-60,-53
2022-07-05 00:00:00+03:00,-33.33333333333333,,,False,False,False,False,False,False,False,False,False,False,False,True,-33.33333333333333,False,True,60,53,-60,-53
2022-07-06 00:00:00+03:00,-9.557155411982645,,,False,False,False,False,False,False,False,False,False,False,False,False,23.776177921350683,True,False,60,53,-60,-53
2022-07-07 00:00:00+03:00,11.637176251093743,-7.813328123555557,19.4505043746493,False,False,False,False,False,False,False,False,False,False,False,False,21.19433166307639,True,False,60,53,-60,-53
2022-07-08 00:00:00+03:00,26.53383015282197,-1.1798705853500646,27.713700738172037,False,False,False,False,False,False,False,False,False,False,False,False,14.896653901728227,True,False,60,53,-60,-53
2022-07-13 00:00:00+03:00,43.87027534663024,18.121031584640825,25.749243761989412,False,False,False,False,False,False,False,False,False,False,False,False,17.336445193808267,True,False,60,53,-60,-53
2022-07-14 00:00:00+03:00,52.330072255723394,33.592838501567336,18.73723375415606,False,False,False,False,False,False,False,False,False,False,True,False,8.459796909093157,True,False,60,53,-60,-53
2022-07-18 00:00:00+03:00,52.25994151344975,43.74852981715634,8.511411696293415,False,False,False,False,False,False,False,False,False,False,False,True,-0.07013074227364058,False,True,60,53,-60,-53
2022-07-19 00:00:00+03:00,60.728470359383415,52.2971898687967,8.431280490586715,False,False,True,False,True,False,False,False,False,False,False,False,8.468528845933662,True,False,60,53,-60,-53
2022-07-20 00:00:00+03:00,67.54516892765393,58.215913264052624,9.329255663601309,False,False,True,False,True,False,False,False,False,False,True,False,6.8166985682705175,True,False,60,53,-60,-53
2022-07-21 00:00:00+03:00,67.00492850508638,61.88462732639337,5.120301178693012,False,False,True,False,True,False,False,False,False,False,False,False,-0.5402404225675497,False,True,60,53,-60,-53
2022-07-22 00:00:00+03:00,62.52147807777675,64.45001146747512,-1.928533389698373,False,True,True,False,True,False,False,True,False,True,False,False,-4.483450427309634,False,True,60,53,-60,-53
