datetime,macd,signal,histogram,hist_color,macd_cross_up,macd_cross_down,macd_above_zero,macd_zero_cross_up,macd_zero_cross_down,bullish_momentum,bearish_momentum,weakening_bullish,weakening_bearish,macd_peak,macd_trough
2022-07-04 00:00:00+03:00,0.0,,,gray,False,False,False,False,False,False,False,False,False,False,False
2022-07-05 00:00:00+03:00,-0.01292023835358691,,,gray,False,False,False,False,True,False,False,False,False,False,False
2022-07-06 00:00:00+03:00,-0.014282606542899146,,,gray,False,False,False,False,False,False,False,False,False,False,False
2022-07-07 00:00:00+03:00,-0.04102770098764097,,,gray,False,False,False,False,False,False,False,False,False,False,False
2022-07-08 00:00:00+03:00,-0.07156339075069695,,,gray,False,False,False,False,False,False,False,False,False,False,False
2022-07-13 00:00:00+03:00,-0.14778819338981464,,,gray,False,False,False,False,False,False,False,False,False,False,False
2022-07-14 00:00:00+03:00,-0.2790393234494388,,,gray,False,False,False,False,False,False,False,False,False,False,False
2022-07-18 00:00:00+03:00,-0.34710858070115336,,,gray,False,False,False,False,False,False,False,False,False,False,False
2022-07-19 00:00:00+03:00,-0.359158392088343,-0.1414320473626193,-0.2177263447257237,gray,False,False,False,False,False,False,False,False,False,False,True
2022-07-20 00:00:00+03:00,-0.3329234171357527,-0.17842353815548073,-0.15449987898027195,maroon,False,False,False,False,False,False,False,False,True,False,False
2022-07-21 00:00:00+03:00,-0.3028322335316034,-0.2106359820641492,-0.09219625146745417,maroon,False,False,False,False,False,False,False,False,True,False,False
2022-07-22 00:00:00+03:00,-0.228431030129844,-0.23443025135158754,0.005999221221743539,aqua,True,False,False,False,False,True,False,False,False,False,False
2022-07-25 00:00:00+03:00,-0.15461604802695916,-0.24705117880040067,0.09243513077344151,aqua,False,False,False,False,False,True,False,False,False,False,False
2022-07-26 00:00:00+03:00,-0.09932894270597359,-0.25013624012876473,0.15080729742279114,aqua,False,False,False,False,False,True,False,False,False,False,False
2022-07-27 00:00:00+03:00,-0.049138011639279,-0.23917510882314966,0.19003709718387066,aqua,False,False,False,False,False,True,False,False,False,False,False
2022-07-28 00:00:00+03:00,-0.04370913137793764,-0.21302730970409398,0.16931817832615634,blue,False,False,False,False,False,False,False,True,False,False,False
2022-07-29 00:00:00+03:00,0.03856410902537277,-0.17017478862336885,0.20873889764874162,aqua,False,False,True,True,False,True,False,False,False,False,False
2022-08-01 00:00:00+03:00,0.1714920671111031,-0.11121362649009707,0.2827056936012002,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-02 00:00:00+03:00,0.2995240543742028,-0.04094168521121312,0.3404657395854159,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-03 00:00:00+03:00,0.42513224334203414,0.03994325666363549,0.3851889866783986,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-04 00:00:00+03:00,0.5459749040146988,0.12598836045747358,0.41998654355722526,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-05 00:00:00+03:00,0.6746263940754034,0.21812640957995832,0.45649998449544504,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-08 00:00:00+03:00,0.8323351670453789,0.3216446439967753,0.5106905230486036,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-09 00:00:00+03:00,0.9334903278001647,0.4308255706011579,0.5026647571990068,blue,False,False,True,False,False,False,False,True,False,False,False
2022-08-10 00:00:00+03:00,1.0710132238390457,0.5546836100697116,0.5163296137693342,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-11 00:00:00+03:00,1.192394280361988,0.6828869624404467,0.5095073179215414,blue,False,False,True,False,False,False,False,True,False,False,False
2022-08-12 00:00:00+03:00,1.2595489042727408,0.8037821665695175,0.4557667377032233,blue,False,False,True,False,False,False,False,True,False,True,False
2022-08-15 00:00:00+03:00,1.2446930301000805,0.9088009416501706,0.3358920884499099,blue,False,False,True,False,False,False,False,True,False,False,True
2022-08-16 00:00:00+03:00,1.3997529177444505,1.0170921276948834,0.3826607900495671,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-17 00:00:00+03:00,1.623004846968911,1.1367621213564627,0.4862427256124482,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-18 00:00:00+03:00,1.9287227537208906,1.2761061613170723,0.6526165924038183,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-19 00:00:00+03:00,2.1204251070476516,1.4192272657617693,0.7011978412858824,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-22 00:00:00+03:00,2.2435837395634195,1.564793200402131,0.6787905391612885,blue,False,False,True,False,False,False,False,True,False,False,False
2022-08-23 00:00:00+03:00,2.4451457406239783,1.7174745911560123,0.727671149467966,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-24 00:00:00+03:00,2.451739351290094,1.8574018212591352,0.5943375300309586,blue,False,False,True,False,False,False,False,True,False,False,False
2022-08-25 00:00:00+03:00,2.49356703636591,1.9945149470472652,0.49905208931864475,blue,False,False,True,False,False,False,False,True,False,True,False
2022-08-26 00:00:00+03:00,2.4692090807519236,2.130572286008581,0.3386367947433424,blue,False,False,True,False,False,False,False,True,False,False,False
2022-08-29 00:00:00+03:00,2.3803539279361416,2.2395279538076576,0.14082597412848408,blue,False,False,True,False,False,False,False,True,False,False,False
2022-08-31 00:00:00+03:00,2.226188008724435,2.306548305113827,-0.0803602963893919,red,False,True,True,False,False,False,True,False,False,False,False
2022-09-01 00:00:00+03:00,1.9895914119925777,2.313311489366237,-0.32372007737365927,red,False,False,True,False,False,False,True,False,False,False,False
2022-09-02 00:00:00+03:00,1.9136244240112106,2.290333635695521,-0.3767092116843105,red,False,False,True,False,False,False,True,False,False,False,True
2022-09-05 00:00:00+03:00,2.115826740895166,2.2761384136212706,-0.1603116727261047,maroon,False,False,True,False,False,False,False,False,True,False,False
2022-09-06 00:00:00+03:00,2.171896085120416,2.2457773407875417,-0.07388125566712578,maroon,False,False,True,False,False,False,False,False,True,False,False
2022-09-07 00:00:00+03:00,2.193944931939697,2.2171335164152755,-0.023188584475578367,maroon,False,False,True,False,False,False,False,False,True,False,False
2022-09-08 00:00:00+03:00,2.2450763792639776,2.1895234434039494,0.055552935860028185,aqua,True,False,True,False,False,True,False,False,False,False,False
2022-09-09 00:00:00+03:00,2.3442514262615504,2.175639259571686,0.16861216668986456,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-09-12 00:00:00+03:00,2.6069866864070903,2.200820677179569,0.4061660092275212,aqua,False,False,True,False,False,True,False,False,False,True,False
2022-09-13 00:00:00+03:00,2.4780619186939177,2.228806667176178,0.24925525151773975,blue,False,False,True,False,False,False,False,True,False,False,False
2022-09-14 00:00:00+03:00,2.370346092588818,2.2711127427979827,0.09923334979083531,blue,False,False,True,False,False,False,False,True,False,False,False
2022-09-15 00:00:00+03:00,2.1957753857733593,2.3024628496604436,-0.10668746388708428,red,False,True,True,False,False,False,True,False,False,False,False
2022-09-16 00:00:00+03:00,2.0181890145394874,2.2916142133987014,-0.273425198859214,red,False,False,True,False,False,False,True,False,False,False,False
2022-09-19 00:00:00+03:00,1.6995759020511372,2.2391341930576707,-0.5395582910065335,red,False,False,True,False,False,False,True,False,False,False,False
2022-09-20 00:00:00+03:00,1.516717287304985,2.163886676987147,-0.647169389682162,red,False,False,True,False,False,False,True,False,False,False,False
2022-09-21 00:00:00+03:00,1.427946632948803,2.0730944829521274,-0.6451478500033243,maroon,False,False,True,False,False,False,False,False,True,False,False
2022-09-22 00:00:00+03:00,1.3665291426024098,1.9644586736566676,-0.5979295310542578,maroon,False,False,True,False,False,False,False,False,True,False,False
2022-09-23 00:00:00+03:00,1.241106678744572,1.812694228360832,-0.5715875496162601,maroon,False,False,True,False,False,False,False,False,True,False,False
2022-09-26 00:00:00+03:00,1.0640960536791724,1.6555869100258604,-0.5914908563466881,red,False,False,True,False,False,False,True,False,False,False,False
