datetime,wt1,wt2,wt_diff,cross_up,cross_down,overbought,oversold,extreme_overbought,extreme_oversold,buy_signal,sell_signal,strong_buy,strong_sell,wt1_peak,wt1_trough,momentum,momentum_increasing,momentum_decreasing,ob_level1,ob_level2,os_level1,os_level2
2022-07-04 00:00:00+03:00,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,60,53,-60,-53
2022-07-05 00:00:00+03:00,33.33333333333333,,,False,False,False,False,False,False,False,False,False,False,True,False,33.33333333333333,True,False,60,53,-60,-53
2022-07-06 00:00:00+03:00,-2.8433695751602457,,,False,False,False,False,False,False,False,False,False,False,False,False,-36.176702908493574,False,True,60,53,-60,-53
2022-07-07 00:00:00+03:00,-26.813852805837655,0.919027738083857,-27.73288054392151,False,False,False,False,False,False,False,False,False,False,False,False,-23.97048323067741,False,True,60,53,-60,-53
2022-07-08 00:00:00+03:00,-39.450409821684715,-8.943574717337322,-30.506835104347395,False,False,False,False,False,False,False,False,False,False,False,False,-12.63655701584706,False,True,60,53,-60,-53
2022-07-13 00:00:00+03:00,-49.4940310594938,-29.650415815544108,-19.843615243949692,False,False,False,False,False,False,False,False,False,False,False,False,-10.043621237809084,False,True,60,53,-60,-53
2022-07-14 00:00:00+03:00,-56.76899930244707,-43.13182324736581,-13.637176055081262,False,False,False,True,False,False,False,False,False,False,False,False,-7.274968242953271,False,True,60,53,-60,-53
2022-07-18 00:00:00+03:00,-59.44250282677188,-51.288985752599366,-8.153517074172512,False,False,False,True,False,False,False,False,False,False,False,False,-2.6735035243248078,False,True,60,53,-60,-53
2022-07-19 00:00:00+03:00,-59.86637720638559,-56.39297759877459,-3.4733996076110003,False,False,False,True,False,False,False,False,False,False,False,True,-0.4238743796137143,False,True,60,53,-60,-53
2022-07-20 00:00:00+03:00,-58.97583044925348,-58.76342744621451,-0.21240300303897186,False,False,False,True,False,False,False,False,False,False,True,False,0.890546757132114,True,False,60,53,-60,-53
2022-07-21 00:00:00+03:00,-59.222471506811345,-59.37679549730558,0.15432399049423395,True,False,False,True,False,False,True,False,False,False,False,True,-0.24664105755786636,False,True,60,53,-60,-53
2022-07-22 00:00:00+03:00,-58.344671981014066,-59.10233778586612,0.7576658048520528,False,False,False,True,False,False,False,False,False,False,False,False,0.877799525797279,True,False,60,53,-60,-53
2022-07-25 00:00:00+03:00,-55.92779848526891,-58.11769310558695,2.189894620318043,False,False,False,True,False,False,False,False,False,False,False,False,2.4168734957451576,True,False,60,53,-60,-53
2022-07-26 00:00:00+03:00,-51.55653001037436,-56.26286799586717,4.706337985492809,False,False,False,False,False,False,False,False,False,False,False,False,4.371268474894549,True,False,60,53,-60,-53
2022-07-27 00:00:00+03:00,-48.80976020789948,-53.659690171139204,4.849929963239724,False,False,False,False,False,False,False,False,False,False,False,False,2.74676980247488,True,False,60,53,-60,-53
