datetime,macd,signal,histogram,hist_color,macd_cross_up,macd_cross_down,macd_above_zero,macd_zero_cross_up,macd_zero_cross_down,bullish_momentum,bearish_momentum,weakening_bullish,weakening_bearish,macd_peak,macd_trough
2022-07-04 00:00:00+03:00,0.0,,,gray,False,False,False,False,False,False,False,False,False,False,False
2022-07-05 00:00:00+03:00,-0.00689755953275295,,,gray,False,False,False,False,True,False,False,False,False,False,True
2022-07-06 00:00:00+03:00,0.0031048082714928427,,,gray,False,False,True,True,False,False,False,False,False,True,False
2022-07-07 00:00:00+03:00,-0.005954434057217739,,,gray,False,False,False,False,True,False,False,False,False,False,True
2022-07-08 00:00:00+03:00,0.004642670190506237,,,gray,False,False,True,True,False,False,False,False,False,True,False
2022-07-13 00:00:00+03:00,-0.019296046101928255,,,gray,False,False,False,False,True,False,False,False,False,False,False
2022-07-14 00:00:00+03:00,-0.04779469419058202,,,gray,False,False,False,False,False,False,False,False,False,False,True
2022-07-18 00:00:00+03:00,-0.03815603853072069,,,gray,False,False,False,False,False,False,False,False,False,False,False
2022-07-19 00:00:00+03:00,-0.02020649311531031,-0.014506420785168098,-0.005700072330142211,gray,False,False,False,False,False,False,False,False,False,False,False
2022-07-20 00:00:00+03:00,0.001750769504269556,-0.01431189084024926,0.016062660344518816,aqua,True,False,True,True,False,True,False,False,False,False,False
2022-07-21 00:00:00+03:00,0.00590515376362255,-0.012889367140651982,0.018794520904274532,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-07-22 00:00:00+03:00,0.008326398599438178,-0.012309190437546944,0.020635589036985123,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-07-25 00:00:00+03:00,0.015493190009731705,-0.009926121096774784,0.02541931110650649,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-07-26 00:00:00+03:00,0.016333263933169917,-0.00862716623647882,0.024960430169648738,blue,False,False,True,False,False,False,False,True,False,True,False
2022-07-27 00:00:00+03:00,-0.0015880324875752194,-0.006659609168217371,0.0050715766806421515,blue,False,False,False,False,True,False,False,True,False,False,False
2022-07-28 00:00:00+03:00,-0.01714370408925525,-0.0032539436014032853,-0.013889760487851966,red,False,True,False,False,False,False,True,False,False,False,True
2022-07-29 00:00:00+03:00,-0.01227520123422643,-0.00037829501290392246,-0.011896906221322508,maroon,False,False,False,False,False,False,False,False,True,False,False
2022-08-01 00:00:00+03:00,0.025400215117997504,0.004689117013019168,0.020711098104978336,aqua,True,False,True,True,False,True,False,False,False,False,False
2022-08-02 00:00:00+03:00,0.060759618273916516,0.011245655765202164,0.04951396250871435,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-03 00:00:00+03:00,0.09390167716816578,0.021023047254595854,0.07287862991356991,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-04 00:00:00+03:00,0.12033028807392121,0.03346792386287175,0.08686236421104945,aqua,False,False,True,False,False,True,False,False,False,True,False
2022-08-05 00:00:00+03:00,0.11897265293021775,0.044965641965147976,0.07400701096506977,blue,False,False,True,False,False,False,False,True,False,False,True
2022-08-08 00:00:00+03:00,0.13111460345628423,0.0577191241343829,0.07339547932190132,blue,False,False,True,False,False,False,False,True,False,True,False
2022-08-09 00:00:00+03:00,0.13070306967899903,0.07241813548622449,0.05828493419277454,blue,False,False,True,False,False,False,False,True,False,False,False
2022-08-10 00:00:00+03:00,0.12965746868591665,0.08872937690568802,0.04092809178022863,blue,False,False,True,False,False,False,False,True,False,False,False
2022-08-11 00:00:00+03:00,0.1273606876379354,0.10424447566926157,0.023116211968673833,blue,False,False,True,False,False,False,False,True,False,False,False
2022-08-12 00:00:00+03:00,0.11108116397388557,0.11376458109769357,-0.002683417123807999,red,False,True,True,False,False,False,True,False,False,False,False
2022-08-15 00:00:00+03:00,0.08939679024624603,0.11694648909461908,-0.02754969884837305,red,False,False,True,False,False,False,True,False,False,False,False
2022-08-16 00:00:00+03:00,0.06985605070311074,0.11427475282072407,-0.044418702117613326,red,False,False,True,False,False,False,True,False,False,False,False
2022-08-17 00:00:00+03:00,0.062180624669993634,0.10781367910917655,-0.04563305443918292,red,False,False,True,False,False,False,True,False,False,False,True
2022-08-18 00:00:00+03:00,0.11830247797674609,0.10773921522545749,0.010563262751288605,aqua,True,False,True,False,False,True,False,False,False,False,False
2022-08-19 00:00:00+03:00,0.1923464019986234,0.1145427483968285,0.0778036536017949,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-22 00:00:00+03:00,0.24050216263431778,0.12674264761408616,0.11375951502023163,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-08-23 00:00:00+03:00,0.2816214335702085,0.14362753260122968,0.13799390096897884,aqua,False,False,True,False,False,True,False,False,False,True,False
2022-08-24 00:00:00+03:00,0.2723084785641259,0.15973284270413973,0.11257563585998615,blue,False,False,True,False,False,False,False,True,False,False,True
2022-08-25 00:00:00+03:00,0.2833676952680424,0.1788757906257127,0.10449190464232969,blue,False,False,True,False,False,False,False,True,False,False,False
2022-08-26 00:00:00+03:00,0.3041308201748496,0.20273512728444645,0.10139569289040315,blue,False,False,True,False,False,False,False,True,False,False,False
2022-08-29 00:00:00+03:00,0.3131003699178283,0.2297622738638595,0.0833380960539688,blue,False,False,True,False,False,False,False,True,False,True,False
2022-08-31 00:00:00+03:00,0.2973999641086458,0.25589775602370973,0.04150220808493604,blue,False,False,True,False,False,False,False,True,False,False,False
2022-09-01 00:00:00+03:00,0.2633164869754978,0.2720104236902377,-0.008693936714739892,red,False,True,True,False,False,False,True,False,False,False,False
2022-09-02 00:00:00+03:00,0.24357529188600147,0.27770252256661304,-0.034127230680611575,red,False,False,True,False,False,False,True,False,False,False,True
2022-09-05 00:00:00+03:00,0.31500042210750223,0.28598010695252246,0.02902031515497977,aqua,True,False,True,False,False,True,False,False,False,False,False
2022-09-06 00:00:00+03:00,0.429448112902838,0.3024052935450368,0.1270428193578012,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-09-07 00:00:00+03:00,0.4682376856150565,0.32417520543958467,0.14406248017547185,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-09-08 00:00:00+03:00,0.4840957405946398,0.3464783215869844,0.1376174190076554,blue,False,False,True,False,False,False,False,True,False,False,False
2022-09-09 00:00:00+03:00,0.5898676412712085,0.3782268572643576,0.21164078400685088,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-09-12 00:00:00+03:00,0.7464862970840489,0.4263808491717154,0.3201054479123335,aqua,False,False,True,False,False,True,False,False,False,False,False
2022-09-13 00:00:00+03:00,0.7947766218753536,0.4816449222569052,0.3131316996184484,blue,False,False,True,False,False,False,False,True,False,True,False
2022-09-14 00:00:00+03:00,0.7507465220991278,0.5358038150484197,0.21494270705070817,blue,False,False,True,False,False,False,False,True,False,False,False
2022-09-15 00:00:00+03:00,0.683170137448954,0.5846476867776366,0.09852245067131749,blue,False,False,True,False,False,False,False,True,False,False,False
2022-09-16 00:00:00+03:00,0.631636855759421,0.6198295127389609,0.011807343020460048,blue,False,False,True,False,False,False,False,True,False,False,False
2022-09-19 00:00:00+03:00,0.5135557068309584,0.6291748009531966,-0.11561909412223814,red,False,True,True,False,False,False,True,False,False,False,False
2022-09-20 00:00:00+03:00,0.4404803989399042,0.6260906579892906,-0.18561025904938644,red,False,False,True,False,False,False,True,False,False,False,False
2022-09-21 00:00:00+03:00,0.3690112752241017,0.613303495170342,-0.24429221994624029,red,False,False,True,False,False,False,True,False,False,False,False
2022-09-22 00:00:00+03:00,0.35709430325175795,0.5874397909459587,-0.2303454876942007,maroon,False,False,True,False,False,False,False,False,True,False,False
2022-09-23 00:00:00+03:00,0.3160980314953328,0.5396188725472124,-0.22352084105187964,maroon,False,False,True,False,False,False,False,False,True,False,False
2022-09-26 00:00:00+03:00,0.2527861786909451,0.4793977121933892,-0.22661153350244412,red,False,False,True,False,False,False,True,False,False,False,False
2022-09-27 00:00:00+03:00,0.19953572553496812,0.4181520681307048,-0.2186163425957367,maroon,False,False,True,False,False,False,False,False,True,False,False
2022-09-28 00:00:00+03:00,0.13178334124297741,0.356886868552263,-0.22510352730928557,red,False,False,True,False,False,False,True,False,False,False,False
2022-09-29 00:00:00+03:00,0.07030170096267874,0.2945162957970694,-0.22421459483439066,maroon,False,False,True,False,False,False,False,False,True,False,False
2022-09-30 00:00:00+03:00,0.010601628638417182,0.23863250933123148,-0.2280308806928143,red,False,False,True,False,False,False,True,False,False,False,True
2022-10-03 00:00:00+03:00,0.03728068723309974,0.19383254136380876,-0.15655185413070902,maroon,False,False,True,False,False,False,False,False,True,False,False
2022-10-04 00:00:00+03:00,0.07002048441304787,0.16061134238480276,-0.0905908579717549,maroon,False,False,True,False,False,False,False,False,True,False,False
2022-10-05 00:00:00+03:00,0.07801289557081326,0.12960229708692003,-0.051589401516106775,maroon,False,False,True,False,False,False,False,False,True,True,False
2022-10-06 00:00:00+03:00,0.0711233161827316,0.10238288427440878,-0.03125956809167718,maroon,False,False,True,False,False,False,False,False,True,False,False
