datetime,wt1,wt2,wt_diff,cross_up,cross_down,overbought,oversold,extreme_overbought,extreme_oversold,buy_signal,sell_signal,strong_buy,strong_sell,wt1_peak,wt1_trough,momentum,momentum_increasing,momentum_decreasing,ob_level1,ob_level2,os_level1,os_level2
2022-07-04 00:00:00+03:00,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,60,53,-60,-53
2022-07-05 00:00:00+03:00,-33.333333333333336,,,False,False,False,False,False,False,False,False,False,False,False,False,-33.333333333333336,False,True,60,53,-60,-53
2022-07-06 00:00:00+03:00,-50.73916435097776,,,False,False,False,False,False,False,False,False,False,False,False,False,-17.405831017644424,False,True,60,53,-60,-53
2022-07-07 00:00:00+03:00,-57.7823827627819,-35.46372011177325,-22.31866265100865,False,False,False,True,False,False,False,False,False,False,False,False,-7.0432184118041405,False,True,60,53,-60,-53
2022-07-08 00:00:00+03:00,-61.073771803401414,-50.7321630626236,-10.341608740777815,False,False,False,True,False,True,False,False,False,False,False,False,-3.2913890406195137,False,True,60,53,-60,-53
2022-07-13 00:00:00+03:00,-65.52540589942407,-58.78018120414629,-6.745224695277784,False,False,False,True,False,True,False,False,False,False,False,False,-4.451634096022659,False,True,60,53,-60,-53
2022-07-14 00:00:00+03:00,-69.04425717780742,-63.3564544108537,-5.687802766953723,False,False,False,True,False,True,False,False,False,False,False,True,-3.5188512783833517,False,True,60,53,-60,-53
2022-07-18 00:00:00+03:00,-64.45481494109458,-65.02456245543188,0.5697475143372941,True,False,False,True,False,True,True,False,True,False,False,False,4.589442236712841,True,False,60,53,-60,-53
2022-07-19 00:00:00+03:00,-52.64340290107771,-62.916970229850946,10.27356732877324,False,False,False,False,False,False,False,False,False,False,False,False,11.811412040016876,True,False,60,53,-60,-53
2022-07-20 00:00:00+03:00,-35.752068190878305,-55.4736358027145,19.721567611836193,False,False,False,False,False,False,False,False,False,False,False,False,16.891334710199402,True,False,60,53,-60,-53
2022-07-21 00:00:00+03:00,-23.67677676479402,-44.13176569946115,20.454988934667128,False,False,False,False,False,False,False,False,False,False,False,False,12.075291426084284,True,False,60,53,-60,-53
2022-07-22 00:00:00+03:00,-16.071830455165383,-32.036019577978855,15.964189122813472,False,False,False,False,False,False,False,False,False,False,False,False,7.604946309628637,True,False,60,53,-60,-53
2022-07-25 00:00:00+03:00,-9.311281214486261,-21.202989156330993,11.891707941844732,False,False,False,False,False,False,False,False,False,False,False,False,6.760549240679122,True,False,60,53,-60,-53
2022-07-26 00:00:00+03:00,-3.46568655838428,-13.131393748207486,9.665707189823205,False,False,False,False,False,False,False,False,False,False,False,False,5.845594656101981,True,False,60,53,-60,-53
2022-07-27 00:00:00+03:00,-1.6468147893818805,-7.623903254354451,5.97708846497257,False,False,False,False,False,False,False,False,False,False,False,False,1.8188717690023994,True,False,60,53,-60,-53
2022-07-28 00:00:00+03:00,0.3665052321198268,-3.5143193325331485,3.8808245646529755,False,False,False,False,False,False,False,False,False,False,False,False,2.0133200215017073,True,False,60,53,-60,-53
2022-07-29 00:00:00+03:00,4.872045142181996,0.03151225663391566,4.840532885548081,False,False,False,False,False,False,False,False,False,False,False,False,4.505539910062169,True,False,60,53,-60,-53
2022-08-01 00:00:00+03:00,14.63318669583772,4.556230570189416,10.076956125648305,False,False,False,False,False,False,False,False,False,False,False,False,9.761141553655724,True,False,60,53,-60,-53
2022-08-02 00:00:00+03:00,20.680988034794716,10.138181276233565,10.54280675856115,False,False,False,False,False,False,False,False,False,False,False,False,6.047801338956996,True,False,60,53,-60,-53
2022-08-03 00:00:00+03:00,24.288514010004146,16.118683470704646,8.1698305392995,False,False,False,False,False,False,False,False,False,False,False,False,3.6075259752094304,True,False,60,53,-60,-53
2022-08-04 00:00:00+03:00,29.18424585868505,22.196733649830406,6.987512208854643,False,False,False,False,False,False,False,False,False,False,False,False,4.895731848680903,True,False,60,53,-60,-53
2022-08-05 00:00:00+03:00,32.691994129745744,26.711435508307414,5.98055862143833,False,False,False,False,False,False,False,False,False,False,False,False,3.507748271060695,True,False,60,53,-60,-53
2022-08-08 00:00:00+03:00,39.276485755340836,31.360309938443947,7.916175816896889,False,False,False,False,False,False,False,False,False,False,False,False,6.584491625595092,True,False,60,53,-60,-53
2022-08-09 00:00:00+03:00,41.95009279771825,35.77570463537247,6.174388162345778,False,False,False,False,False,False,False,False,False,False,False,False,2.6736070423774123,True,False,60,53,-60,-53
2022-08-10 00:00:00+03:00,44.27027307161435,39.5472114386048,4.72306163300955,False,False,False,False,False,False,False,False,False,False,False,False,2.3201802738960993,True,False,60,53,-60,-53
2022-08-11 00:00:00+03:00,46.43369776429529,42.98263734724218,3.4510604170531067,False,False,False,False,False,False,False,False,False,False,False,False,2.163424692680941,True,False,60,53,-60,-53
2022-08-12 00:00:00+03:00,51.76029097791008,46.10358865288449,5.6567023250255914,False,False,False,False,False,False,False,False,False,False,False,False,5.326593213614792,True,False,60,53,-60,-53
