datetime,squeeze_on,squeeze_off,no_squeeze,momentum,momentum_hist,momentum_color,squeeze_release,squeeze_start,bb_upper,bb_lower,kc_upper,kc_lower
2022-07-04 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-05 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-06 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-07 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-08 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-13 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-14 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-18 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-19 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-20 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-21 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-22 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-25 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-26 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-27 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-28 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-07-29 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-08-01 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-08-02 00:00:00+03:00,False,False,True,,,gray,False,False,,,,
2022-08-03 00:00:00+03:00,True,False,False,,,gray,False,False,13.976786020796444,13.224177380997988,13.97807993526434,13.222883466530092
2022-08-04 00:00:00+03:00,False,True,False,,,gray,True,False,14.248473044156311,13.095940713167908,14.103946041401718,13.2404677159225
2022-08-05 00:00:00+03:00,False,True,False,,,gray,False,False,14.509348085027082,13.029417726893083,14.212922111812746,13.325843700107418
2022-08-08 00:00:00+03:00,False,True,False,,,gray,False,False,14.735875976492995,12.939861690590746,14.242537589911215,13.433200077172526
2022-08-09 00:00:00+03:00,False,True,False,,,gray,False,False,14.855119318542801,12.904837518157638,14.278400065369498,13.481556771330942
2022-08-10 00:00:00+03:00,False,True,False,,,gray,False,False,15.003836937745199,12.857923392454996,14.357066369418671,13.504693960781523
2022-08-11 00:00:00+03:00,False,True,False,,,gray,False,False,15.230714453296391,12.790229474468502,14.44915218496361,13.571791742801283
2022-08-12 00:00:00+03:00,False,True,False,,,gray,False,False,15.384683449825118,12.793593184391192,14.531983189885441,13.646293444330869
2022-08-15 00:00:00+03:00,False,True,False,,,gray,False,False,15.489528150616213,12.820167474688962,14.60879846137036,13.700897163934814
2022-08-16 00:00:00+03:00,False,True,False,,,gray,False,False,15.567654192555443,12.862354600321753,14.726566617155227,13.70344217572197
2022-08-17 00:00:00+03:00,False,True,False,,,gray,False,False,15.712812747444726,12.88470903447666,14.842946543441736,13.754575238479651
2022-08-18 00:00:00+03:00,False,True,False,,,gray,False,False,15.737691559817705,12.977366957638349,14.949608794628729,13.765449722827325
2022-08-19 00:00:00+03:00,False,True,False,,,gray,False,False,15.738608040842276,13.080104956594248,15.016012378187725,13.8027006192488
2022-08-22 00:00:00+03:00,False,True,False,,,gray,False,False,15.800320685362376,13.168321167970145,15.127070776642794,13.841571076689727
2022-08-23 00:00:00+03:00,False,True,False,,,gray,False,False,15.943400334279461,13.233475829203206,15.296434605892857,13.88044155758981
2022-08-24 00:00:00+03:00,False,True,False,,,gray,False,False,16.23951150511292,13.216861518873898,15.508370953711287,13.94800207027553
2022-08-25 00:00:00+03:00,False,True,False,,,gray,False,False,16.475450792560594,13.265046510448437,15.675421194877401,14.065076108131631
2022-08-26 00:00:00+03:00,False,True,False,,,gray,False,False,16.596848217891978,13.400008662296012,15.875094765562585,14.121762114625403
2022-08-29 00:00:00+03:00,False,True,False,,,gray,False,False,16.67854875436975,13.554307137811648,16.00767063644326,14.225185255738136
2022-08-31 00:00:00+03:00,False,True,False,1.1207177417382224,1.1207177417382224,gray,False,False,16.802581286963196,13.737535976830747,16.19739531353629,14.342721950257653
2022-09-01 00:00:00+03:00,False,True,False,1.0954618629568804,1.0954618629568804,green,False,False,16.829859863208494,13.987903179241455,16.34871235231792,14.469050690132029
2022-09-02 00:00:00+03:00,False,True,False,1.2443295976589839,1.2443295976589839,lime,False,False,17.165500517333655,13.921578912292809,16.47157065684437,14.615508772782093
2022-09-05 00:00:00+03:00,False,True,False,1.3576653781366281,1.3576653781366281,lime,False,False,17.446236629357223,13.879618244300003,16.590958356634882,14.734896517022348
2022-09-06 00:00:00+03:00,False,True,False,1.3672540222297376,1.3672540222297376,lime,False,False,17.601717544757363,13.925893424786095,16.71960109717135,14.808009872372105
2022-09-07 00:00:00+03:00,False,True,False,1.3914554467216096,1.3914554467216096,lime,False,False,17.772827779851216,14.0120684031627,16.871843679585883,14.913052503428034
2022-09-08 00:00:00+03:00,False,True,False,1.3751141075259463,1.3751141075259463,green,False,False,17.902982467911695,14.108657985426925,17.043521456607362,14.96811899673126
