datetime,macd,signal,histogram,hist_color,macd_cross_up,macd_cross_down,macd_above_zero,macd_zero_cross_up,macd_zero_cross_down,bullish_momentum,bearish_momentum,weakening_bullish,weakening_bearish,macd_peak,macd_trough
2025-04-07 09:30:00+03:00,0.0,,,gray,False,False,False,False,False,False,False,False,False,False,False
2025-04-07 10:30:00+03:00,-0.0797720797720558,,,gray,False,False,False,False,True,False,False,False,False,False,True
2025-04-07 11:30:00+03:00,0.9754466278682798,,,gray,False,False,True,True,False,False,False,False,False,False,False
2025-04-07 12:30:00+03:00,1.75118269080167,,,gray,False,False,True,False,False,False,False,False,False,False,False
2025-04-07 13:30:00+03:00,2.518483792065183,,,gray,False,False,True,False,False,False,False,False,False,False,False
2025-04-07 14:30:00+03:00,3.170717033316464,,,gray,False,False,True,False,False,False,False,False,False,False,False
2025-04-07 15:30:00+03:00,3.8849086948857803,,,gray,False,False,True,False,False,False,False,False,False,False,False
2025-04-07 16:30:00+03:00,5.058307760845992,,,gray,False,False,True,False,False,False,False,False,False,False,False
2025-04-07 17:30:00+03:00,5.541075601574448,2.5355944579539735,3.0054811436204747,gray,False,False,True,False,False,False,False,False,False,False,False
2025-04-08 09:30:00+03:00,6.195197692155659,3.22394975708238,2.9712479350732792,blue,False,False,True,False,False,False,False,True,False,False,False
2025-04-08 10:30:00+03:00,6.77668710566337,3.985778555464094,2.7909085501992763,blue,False,False,True,False,False,False,False,True,False,False,False
2025-04-08 11:30:00+03:00,6.995498616466705,4.654673220863919,2.340825395602786,blue,False,False,True,False,False,False,False,True,False,False,False
2025-04-08 12:30:00+03:00,7.007439274600813,5.238701730174935,1.7687375444258784,blue,False,False,True,False,False,False,False,True,False,True,False
2025-04-08 13:30:00+03:00,6.897051593371316,5.725209263653394,1.1718423297179221,blue,False,False,True,False,False,False,False,True,False,False,True
2025-04-08 14:30:00+03:00,6.97128287909328,6.147494357628596,0.8237885214646843,blue,False,False,True,False,False,False,False,True,False,False,False
2025-04-08 15:30:00+03:00,7.867375392076667,6.589990657316473,1.2773847347601945,aqua,False,False,True,False,False,True,False,False,False,False,False
2025-04-08 16:30:00+03:00,8.380070376413244,6.9590753923795,1.4209949840337437,aqua,False,False,True,False,False,True,False,False,False,False,False
2025-04-08 17:30:00+03:00,8.526710943897285,7.290812652637594,1.2358982912596916,blue,False,False,True,False,False,False,False,True,False,True,False
2025-04-09 09:30:00+03:00,8.364942602821884,7.531895420489396,0.8330471823324883,blue,False,False,True,False,False,False,False,True,False,False,False
2025-04-09 10:30:00+03:00,7.9434438443972795,7.661535058126497,0.2819087862707823,blue,False,False,True,False,False,False,False,True,False,False,False
2025-04-09 11:30:00+03:00,7.702173377319298,7.740054475999007,-0.037881098679709346,red,False,True,True,False,False,False,True,False,False,False,False
2025-04-09 12:30:00+03:00,7.285768613912751,7.770979958144778,-0.4852113442320274,red,False,False,True,False,False,False,True,False,False,False,False
2025-04-09 13:30:00+03:00,6.716952703962704,7.7509689704327105,-1.0340162664700063,red,False,False,True,False,False,False,True,False,False,False,False
2025-04-09 14:30:00+03:00,5.975379524326968,7.640313042125342,-1.6649335177983744,red,False,False,True,False,False,False,True,False,False,False,False
2025-04-09 15:30:00+03:00,5.366165443138641,7.362400825576673,-1.996235382438032,red,False,False,True,False,False,False,True,False,False,False,False
