datetime,macd,signal,histogram,hist_color,macd_cross_up,macd_cross_down,macd_above_zero,macd_zero_cross_up,macd_zero_cross_down,bullish_momentum,bearish_momentum,weakening_bullish,weakening_bearish,macd_peak,macd_trough
2025-04-07 09:30:00+03:00,0.0,,,gray,False,False,False,False,False,False,False,False,False,False,False
2025-04-07 10:30:00+03:00,-0.004786282183438573,,,gray,False,False,False,False,True,False,False,False,False,False,False
2025-04-07 11:30:00+03:00,-0.008481673840737614,,,gray,False,False,False,False,False,False,False,False,False,False,True
2025-04-07 12:30:00+03:00,-0.008089386315122127,,,gray,False,False,False,False,False,False,False,False,False,False,False
2025-04-07 13:30:00+03:00,-0.006094449764391996,,,gray,False,False,False,False,False,False,False,False,False,False,False
2025-04-07 14:30:00+03:00,-0.0020688717766379483,,,gray,False,False,False,False,False,False,False,False,False,False,False
2025-04-07 15:30:00+03:00,0.0035018651459068906,,,gray,False,False,True,True,False,False,False,False,False,False,False
2025-04-07 16:30:00+03:00,0.024578635120926506,,,gray,False,False,True,False,False,False,False,False,False,False,False
2025-04-07 17:30:00+03:00,0.03841845841600389,0.004108699422501003,0.03430975899350289,gray,False,False,True,False,False,False,False,False,False,False,False
2025-04-08 09:30:00+03:00,0.06078966523711671,0.010863106671069525,0.049926558566047184,aqua,False,False,True,False,False,True,False,False,False,False,False
2025-04-08 10:30:00+03:00,0.06964696590294217,0.019133467569556275,0.05051349833338589,aqua,False,False,True,False,False,True,False,False,False,False,False
2025-04-08 11:30:00+03:00,0.0749950098083545,0.02840865464167762,0.04658635516667688,blue,False,False,True,False,False,False,False,True,False,False,False
2025-04-08 12:30:00+03:00,0.07833042871078888,0.038010856311223286,0.040319572399565594,blue,False,False,True,False,False,False,False,True,False,False,False
2025-04-08 13:30:00+03:00,0.07925333121083611,0.04749394308624863,0.03175938812458748,blue,False,False,True,False,False,False,False,True,False,False,False
2025-04-08 14:30:00+03:00,0.08784813249183898,0.057484721338301625,0.030363411153537356,blue,False,False,True,False,False,False,False,True,False,False,False
2025-04-08 15:30:00+03:00,0.0951763109524979,0.0676707708723673,0.027505540080130605,blue,False,False,True,False,False,False,False,True,False,False,False
2025-04-08 16:30:00+03:00,0.09664225084134692,0.07567783928574734,0.020964411555599582,blue,False,False,True,False,False,False,False,True,False,True,False
2025-04-08 17:30:00+03:00,0.09190308479234766,0.08162057554978554,0.010282509242562118,blue,False,False,True,False,False,False,False,True,False,False,False
2025-04-09 09:30:00+03:00,0.07916549594962241,0.08366233451784172,-0.004496838568219308,red,False,True,True,False,False,False,True,False,False,False,False
2025-04-09 10:30:00+03:00,0.06429518953012447,0.08306769269863976,-0.01877250316851528,red,False,False,True,False,False,False,True,False,False,False,False
2025-04-09 11:30:00+03:00,0.050316477732787135,0.08032563357913228,-0.030009155846345142,red,False,False,True,False,False,False,True,False,False,False,False
2025-04-09 12:30:00+03:00,0.03560020825391774,0.07557783130614659,-0.03997762305222885,red,False,False,True,False,False,False,True,False,False,False,False
2025-04-09 13:30:00+03:00,0.006912527319958173,0.06753996420716016,-0.060627436887201985,red,False,False,True,False,False,False,True,False,False,False,False
2025-04-09 14:30:00+03:00,-0.026012730715553545,0.05488875718411654,-0.08090148789967008,red,False,False,False,False,True,False,True,False,False,False,False
2025-04-09 15:30:00+03:00,-0.0491192905836737,0.038855912568986364,-0.08797520315266007,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-09 16:30:00+03:00,-0.06666295668452271,0.020710889510556402,-0.08737384619507911,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-09 17:30:00+03:00,-0.08443458459729314,0.0011178151339296487,-0.08555239973122279,maroon,False,False,False,False,False,False,False,False,True,False,True
2025-04-10 09:30:00+03:00,-0.07186896602904547,-0.015663791752589005,-0.056205174276456465,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-10 10:30:00+03:00,-0.06280049065615856,-0.02978553399550934,-0.033014956660649214,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-10 11:30:00+03:00,-0.05577762375736661,-0.04157376749441531,-0.0142038562629513,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-10 12:30:00+03:00,-0.04963973517560838,-0.051044872319918215,0.0014051371443098357,aqua,True,False,False,False,False,True,False,False,False,False,False
2025-04-10 13:30:00+03:00,-0.046658294214088514,-0.05699718582370118,0.010338891609612669,aqua,False,False,False,False,False,True,False,False,False,False,False
2025-04-10 14:30:00+03:00,-0.04379068896829175,-0.05897251451844987,0.015181825550158123,aqua,False,False,False,False,False,True,False,False,False,False,False
2025-04-10 15:30:00+03:00,-0.0418426895672237,-0.05816400329439987,0.01632131372717617,aqua,False,False,False,False,False,True,False,False,False,True,False
2025-04-10 16:30:00+03:00,-0.0557940401822119,-0.056956345905254224,0.0011623057230423228,blue,False,False,False,False,False,False,False,True,False,False,False
2025-04-10 17:30:00+03:00,-0.07326825536982895,-0.055715642657758205,-0.017552612712070745,red,False,True,False,False,False,False,True,False,False,False,False
2025-04-11 09:30:00+03:00,-0.09489881531877131,-0.05827451480106108,-0.036624300517710234,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-11 10:30:00+03:00,-0.1147529864448682,-0.06404701433313992,-0.05070597211172828,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-11 11:30:00+03:00,-0.1250119031779775,-0.07173971204654113,-0.05327219113143637,red,False,False,False,False,False,False,True,False,False,False,True
2025-04-11 12:30:00+03:00,-0.123647716598553,-0.07996282109353497,-0.04368489550501803,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-11 13:30:00+03:00,-0.11877667757025989,-0.08797597479977624,-0.03080070277048365,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-11 14:30:00+03:00,-0.10722499578441713,-0.09502423111267906,-0.01220076467173807,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-11 15:30:00+03:00,-0.10173887775633439,-0.10167936313369136,-5.951462264303098e-05,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-11 16:30:00+03:00,-0.09947209987353212,-0.10653248087717139,0.007060381003639274,aqua,True,False,False,False,False,True,False,False,False,False,False
2025-04-11 17:30:00+03:00,-0.08539443055643403,-0.10787983367568306,0.02248540311924903,aqua,False,False,False,False,False,True,False,False,False,False,False
2025-04-14 09:30:00+03:00,-0.06701000135928936,-0.10478107656907396,0.037771075209784594,aqua,False,False,False,False,False,True,False,False,False,False,False
2025-04-14 10:30:00+03:00,-0.05024719751554585,-0.09761376668803814,0.047366569172492295,aqua,False,False,False,False,False,True,False,False,False,False,False
2025-04-14 11:30:00+03:00,-0.04052994820923317,-0.0882268828026221,0.04769693459338893,aqua,False,False,False,False,False,True,False,False,False,False,False
2025-04-14 12:30:00+03:00,-0.03245483894406753,-0.0780943408410126,0.04563950189694507,blue,False,False,False,False,False,False,False,True,False,False,False
2025-04-14 13:30:00+03:00,-0.027353732707046774,-0.06793623585621116,0.04058250314916438,blue,False,False,False,False,False,False,False,True,False,True,False
2025-04-14 14:30:00+03:00,-0.028629513367873116,-0.059203404476595146,0.03057389110872203,blue,False,False,False,False,False,False,False,True,False,False,True
2025-04-14 15:30:00+03:00,-0.028505055303954308,-0.05106631309299736,0.022561257789043054,blue,False,False,False,False,False,False,False,True,False,True,False
2025-04-14 16:30:00+03:00,-0.032071320693649596,-0.04357733762856597,0.011506016934916374,blue,False,False,False,False,False,False,False,True,False,False,False
2025-04-14 17:30:00+03:00,-0.03529758110732928,-0.03801102102310989,0.002713439915780609,blue,False,False,False,False,False,False,False,True,False,False,False
2025-04-15 09:30:00+03:00,-0.042209384636105796,-0.03525539694275616,-0.006953987693349636,red,False,True,False,False,False,False,True,False,False,False,False
2025-04-15 10:30:00+03:00,-0.04794133574881343,-0.034999190079785886,-0.012942145669027544,red,False,False,False,False,False,False,True,False,False,False,True
2025-04-15 11:30:00+03:00,-0.044706341277411354,-0.035463233754027906,-0.009243107523383448,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-15 12:30:00+03:00,-0.04006684936251759,-0.03630901268941125,-0.003757836673106335,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-15 13:30:00+03:00,-0.037570795639830123,-0.037444241904164954,-0.00012655373566516914,maroon,False,False,False,False,False,False,False,False,True,True,False
2025-04-15 14:30:00+03:00,-0.03997332296201961,-0.038704665192403453,-0.001268657769616155,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-15 15:30:00+03:00,-0.042995586606284775,-0.040314724225995725,-0.0026808623802890494,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-15 16:30:00+03:00,-0.05364838017526097,-0.0427121752795081,-0.010936204895752866,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-15 17:30:00+03:00,-0.06058546935496523,-0.04552194064035654,-0.015063528714608684,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-16 09:30:00+03:00,-0.0709141753519944,-0.04871136183101083,-0.02220281352098357,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-16 10:30:00+03:00,-0.08378234886439628,-0.05269369662163115,-0.031088652242765136,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-16 11:30:00+03:00,-0.09450494469868786,-0.05822687477955076,-0.0362780699191371,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-16 12:30:00+03:00,-0.10342426147970585,-0.06526658723701612,-0.03815767424268973,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-16 13:30:00+03:00,-0.10923370612033523,-0.07322913284596114,-0.03600457327437409,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-16 14:30:00+03:00,-0.11174269769583489,-0.08120350781638505,-0.03053918987944984,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-16 15:30:00+03:00,-0.1124350107798211,-0.08891899939122243,-0.02351601138859867,maroon,False,False,False,False,False,False,False,False,True,False,True
2025-04-16 16:30:00+03:00,-0.11089844767203161,-0.09528011800197472,-0.015618329670056885,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-16 17:30:00+03:00,-0.10364442945380681,-0.100064446901846,-0.003579982551960806,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-17 09:30:00+03:00,-0.09039818845210768,-0.10222933724630304,0.011831148794195362,aqua,True,False,False,False,False,True,False,False,False,False,False
2025-04-17 10:30:00+03:00,-0.07978763967551217,-0.10178548066976036,0.02199784099424819,aqua,False,False,False,False,False,True,False,False,False,False,False
2025-04-17 11:30:00+03:00,-0.07694703110429835,-0.09983460138149486,0.02288757027719651,aqua,False,False,False,False,False,True,False,False,False,False,False
2025-04-17 12:30:00+03:00,-0.07543999587068306,-0.09672523853604788,0.021285242665364815,blue,False,False,False,False,False,False,False,True,False,False,False
2025-04-17 13:30:00+03:00,-0.06781553396810303,-0.09212321940802208,0.024307685439919055,aqua,False,False,False,False,False,True,False,False,False,True,False
2025-04-17 14:30:00+03:00,-0.07064176655093135,-0.08755644928081058,0.016914682729879227,blue,False,False,False,False,False,False,False,True,False,False,True
2025-04-17 15:30:00+03:00,-0.06726473477796091,-0.08253752972504833,0.015272794947087415,blue,False,False,False,False,False,False,False,True,False,False,False
2025-04-17 16:30:00+03:00,-0.06624550357144976,-0.07757609149165035,0.011330587920200585,blue,False,False,False,False,False,False,False,True,False,True,False
2025-04-17 17:30:00+03:00,-0.06868064529366968,-0.07369122658496845,0.005010581291298763,blue,False,False,False,False,False,False,False,True,False,False,False
2025-04-18 09:30:00+03:00,-0.07219897553762777,-0.0716690918166929,-0.0005298837209348761,red,False,True,False,False,False,False,True,False,False,False,True
2025-04-18 10:30:00+03:00,-0.07173958064231556,-0.0707748630352266,-0.0009647176070889524,red,False,False,False,False,False,False,True,False,False,True,False
2025-04-18 11:30:00+03:00,-0.07455065391557625,-0.07050859890314637,-0.004042055012429879,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-18 12:30:00+03:00,-0.0782966988174536,-0.07082601034167643,-0.007470688475777171,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-18 13:30:00+03:00,-0.0915074066889705,-0.07345844064399504,-0.018048966044975467,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-18 14:30:00+03:00,-0.11437611658681135,-0.07831781287020394,-0.03605830371660741,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-18 15:30:00+03:00,-0.12301260313178908,-0.08451202046507372,-0.038500582666715355,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-18 16:30:00+03:00,-0.12917489114646763,-0.09150417464007571,-0.03767071650639192,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-18 17:30:00+03:00,-0.13971031539692902,-0.09939636020710453,-0.04031395518982449,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-21 09:30:00+03:00,-0.1615291625789883,-0.10932193654503347,-0.052207226033954834,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-21 10:30:00+03:00,-0.18077153199587137,-0.12143659780653968,-0.059334934189331695,red,False,False,False,False,False,False,True,False,False,False,False
2025-04-21 11:30:00+03:00,-0.19378738801199447,-0.1346851238172528,-0.059102264194741655,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-21 12:30:00+03:00,-0.20097885366354795,-0.14831647435570774,-0.05266237930784021,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-21 13:30:00+03:00,-0.20192969445081133,-0.1605856174403567,-0.041344077010454616,maroon,False,False,False,False,False,False,False,False,True,False,True
2025-04-21 14:30:00+03:00,-0.18441898526673484,-0.16836815840479266,-0.016050826861942175,maroon,False,False,False,False,False,False,False,False,True,False,False
2025-04-21 15:30:00+03:00,-0.1606209654805255,-0.17254686533243005,0.011925899851904537,aqua,True,False,False,False,False,True,False,False,False,False,False
2025-04-21 16:30:00+03:00,-0.15849289676111766,-0.17580442151183562,0.017311524750717955,aqua,False,False,False,False,False,True,False,False,False,False,False
2025-04-21 17:30:00+03:00,-0.15023313741277278,-0.17697362395804048,0.0267404865452677,aqua,False,False,False,False,False,True,False,False,False,False,False
2025-04-22 09:30:00+03:00,-0.14204975743999348,-0.17480924560926325,0.03275948816926977,aqua,False,False,False,False,False,True,False,False,False,False,False
2025-04-22 10:30:00+03:00,-0.13800801987709121,-0.17005774426273212,0.03204972438564091,blue,False,False,False,False,False,False,False,True,False,False,False
2025-04-22 11:30:00+03:00,-0.1300777952583143,-0.16297890062343434,0.03290110536512003,aqua,False,False,False,False,False,True,False,False,False,False,False
2025-04-22 12:30:00+03:00,-0.11759600609140719,-0.15371413978208537,0.03611813369067818,aqua,False,False,False,False,False,True,False,False,False,False,False
2025-04-22 13:30:00+03:00,-0.10727444017524412,-0.14319688930702235,0.03592244913177822,blue,False,False,False,False,False,False,False,True,False,False,False
2025-04-22 14:30:00+03:00,-0.1043470027852802,-0.1343000023646385,0.02995299957935829,blue,False,False,False,False,False,False,False,True,False,False,False
2025-04-22 15:30:00+03:00,-0.09448252655408496,-0.12695128692836732,0.03246876037428237,aqua,False,False,False,False,False,True,False,False,False,False,False
2025-04-22 16:30:00+03:00,-0.08727262639655287,-0.11903792355452679,0.031765297157973924,blue,False,False,False,False,False,False,False,True,False,False,False
2025-04-22 17:30:00+03:00,-0.08062928437687589,-0.1113041621060938,0.03067487772921791,blue,False,False,False,False,False,False,False,True,False,False,False
2025-04-24 09:30:00+03:00,-0.06892151329996032,-0.10317880164609011,0.03425728834612979,aqua,False,False,False,False,False,True,False,False,False,False,False
