datetime,macd,signal,histogram,hist_color,macd_cross_up,macd_cross_down,macd_above_zero,macd_zero_cross_up,macd_zero_cross_down,bullish_momentum,bearish_momentum,weakening_bullish,weakening_bearish,macd_peak,macd_trough
2020-07-06 00:00:00+03:00,0.0,,,gray,False,False,False,False,False,False,False,False,False,False,False
2020-07-13 00:00:00+03:00,0.01554023981773689,,,gray,False,False,True,True,False,False,False,False,False,False,False
2020-07-20 00:00:00+03:00,0.0789013077375369,,,gray,False,False,True,False,False,False,False,False,False,False,False
2020-07-27 00:00:00+03:00,0.13076132395716122,,,gray,False,False,True,False,False,False,False,False,False,False,False
2020-08-03 00:00:00+03:00,0.13717089175735797,,,gray,False,False,True,False,False,False,False,False,False,False,False
2020-08-10 00:00:00+03:00,0.15699502653939046,,,gray,False,False,True,False,False,False,False,False,False,False,False
2020-08-17 00:00:00+03:00,0.17619293861792595,,,gray,False,False,True,False,False,False,False,False,False,True,False
2020-08-24 00:00:00+03:00,0.16545684937092542,,,gray,False,False,True,False,False,False,False,False,False,False,False
2020-08-31 00:00:00+03:00,0.1602255467708531,0.1134715693965431,0.04675397737431,gray,False,False,True,False,False,False,False,False,False,False,False
2020-09-07 00:00:00+03:00,0.1445594852515768,0.1295337344244961,0.015025750827080714,blue,False,False,True,False,False,False,False,True,False,False,False
2020-09-14 00:00:00+03:00,0.13102769207229947,0.14236567356389193,-0.011337981491592458,red,False,True,True,False,False,False,True,False,False,False,True
2020-09-21 00:00:00+03:00,0.1430916987927393,0.1494979392366922,-0.006406240443952882,maroon,False,False,True,False,False,False,False,False,True,False,False
2020-09-28 00:00:00+03:00,0.19650276302459702,0.15680254357751838,0.03970021944707863,aqua,True,False,True,False,False,True,False,False,False,False,False
2020-10-05 00:00:00+03:00,0.22403032681858903,0.16645359191765519,0.057576734900933846,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-10-12 00:00:00+03:00,0.24070654477979758,0.17575487172214485,0.06495167305765273,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-10-19 00:00:00+03:00,0.25292978878050043,0.18428118840687535,0.06864860037362508,aqua,False,False,True,False,False,True,False,False,False,True,False
2020-10-26 00:00:00+03:00,0.20804987180431844,0.18901374645503013,0.019036125349288308,blue,False,False,True,False,False,False,False,True,False,False,False
2020-11-02 00:00:00+03:00,0.19786651718233195,0.19319607650075,0.0046704406815819555,blue,False,False,True,False,False,False,False,True,False,False,True
2020-11-09 00:00:00+03:00,0.22396952284992722,0.20201941401167783,0.021950108838249383,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-11-16 00:00:00+03:00,0.24147750709806104,0.2142916156812069,0.027185891416854152,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-11-23 00:00:00+03:00,0.24306558472768813,0.22539982522953453,0.017665759498153605,blue,False,False,True,False,False,False,False,True,False,True,False
2020-11-30 00:00:00+03:00,0.22552068500746358,0.22862403878318638,-0.0031033537757227947,red,False,True,True,False,False,False,True,False,False,False,False
2020-12-07 00:00:00+03:00,0.202953203548919,0.2262821361976675,-0.023328932648748496,red,False,False,True,False,False,False,True,False,False,False,False
2020-12-14 00:00:00+03:00,0.1946806948601214,0.22116815287325903,-0.02648745801313762,red,False,False,True,False,False,False,True,False,False,False,False
2020-12-21 00:00:00+03:00,0.1945566862611905,0.2146822525933357,-0.02012556633214521,maroon,False,False,True,False,False,False,False,False,True,False,True
2020-12-28 00:00:00+03:00,0.20477955106811763,0.21431888362264673,-0.0095393325545291,maroon,False,False,True,False,False,False,False,False,True,False,False
2021-01-04 00:00:00+03:00,0.23592127574692512,0.21854719012982374,0.01737408561710138,aqua,True,False,True,False,False,True,False,False,False,True,False
2021-01-11 00:00:00+03:00,0.22707222238054747,0.21889193452211486,0.008180287858432611,blue,False,False,True,False,False,False,False,True,False,False,False
2021-01-18 00:00:00+03:00,0.2214692776318845,0.21666879791476193,0.00480047971712258,blue,False,False,True,False,False,False,False,True,False,False,False
2021-01-25 00:00:00+03:00,0.1753771120352532,0.2091478565044914,-0.033770744469238195,red,False,True,True,False,False,False,True,False,False,False,False
2021-02-01 00:00:00+03:00,0.15097899288723582,0.2008654462689105,-0.04988645338167469,red,False,False,True,False,False,False,True,False,False,False,False
2021-02-08 00:00:00+03:00,0.13014309904890453,0.19277543465779778,-0.06263233560889325,red,False,False,True,False,False,False,True,False,False,False,False
2021-02-15 00:00:00+03:00,0.11546977165263073,0.1839742209680766,-0.06850444931544589,red,False,False,True,False,False,False,True,False,False,False,False
2021-02-22 00:00:00+03:00,0.07327370832079971,0.17049833453025542,-0.09722462620945571,red,False,False,True,False,False,False,True,False,False,False,False
2021-03-01 00:00:00+03:00,0.048781924036012114,0.15316526486002147,-0.10438334082400935,red,False,False,True,False,False,False,True,False,False,False,False
2021-03-08 00:00:00+03:00,0.02472777455879971,0.1296993202835631,-0.10497154572476339,red,False,False,True,False,False,False,True,False,False,False,False
2021-03-15 00:00:00+03:00,-0.02339196838720703,0.10186996575381259,-0.1252619341410196,red,False,False,False,False,True,False,True,False,False,False,False
2021-03-22 00:00:00+03:00,-0.12037750292950733,0.06388699013588016,-0.1842644930653875,red,False,False,False,False,False,False,True,False,False,False,False
2021-03-29 00:00:00+03:00,-0.16952546943316982,0.02556448108383316,-0.19508995051700298,red,False,False,False,False,False,False,True,False,False,False,False
2021-04-05 00:00:00+03:00,-0.22020409111573258,-0.015678083805385552,-0.20452600731034704,red,False,False,False,False,False,False,True,False,False,False,False
2021-04-12 00:00:00+03:00,-0.2546575928100392,-0.05843371623415708,-0.1962238765758821,maroon,False,False,False,False,False,False,False,False,True,False,False
2021-04-19 00:00:00+03:00,-0.30460685642026597,-0.1051088971311456,-0.19949795928912037,red,False,False,False,False,False,False,True,False,False,False,False
2021-04-26 00:00:00+03:00,-0.32263926181575187,-0.149099227146318,-0.17354003466943388,maroon,False,False,False,False,False,False,False,False,True,False,False
2021-05-03 00:00:00+03:00,-0.3315232364333953,-0.19135535608736326,-0.14016788034603206,maroon,False,False,False,False,False,False,False,False,True,False,False
2021-05-10 00:00:00+03:00,-0.3421494763450932,-0.2321194950766847,-0.11002998126840849,maroon,False,False,False,False,False,False,False,False,True,False,True
2021-05-17 00:00:00+03:00,-0.3348222107869345,-0.2667228553433211,-0.06809935544361345,maroon,False,False,False,False,False,False,False,False,True,False,False
2021-05-24 00:00:00+03:00,-0.3295754622818663,-0.28996707304913877,-0.039608389232727526,maroon,False,False,False,False,False,False,False,False,True,False,False
2021-05-31 00:00:00+03:00,-0.3201418146156447,-0.3067022225138582,-0.013439592101786524,maroon,False,False,False,False,False,False,False,False,True,False,False
2021-06-07 00:00:00+03:00,-0.28833779330523246,-0.31427263386824705,0.025934840563014594,aqua,True,False,False,False,False,True,False,False,False,False,False
2021-06-14 00:00:00+03:00,-0.2875592118043029,-0.31792836931205415,0.030369157507751265,aqua,False,False,False,False,False,True,False,False,False,False,False
2021-06-21 00:00:00+03:00,-0.27897076524373077,-0.31507991473688357,0.0361091494931528,aqua,False,False,False,False,False,True,False,False,False,True,False
2021-06-28 00:00:00+03:00,-0.2808163372310757,-0.310432923116364,0.029616585885288316,blue,False,False,False,False,False,False,False,True,False,False,True
2021-07-05 00:00:00+03:00,-0.276319589208442,-0.3042991845358136,0.027979595327371598,blue,False,False,False,False,False,False,False,True,False,True,False
2021-07-12 00:00:00+03:00,-0.2829682603306489,-0.29772349386754204,0.01475523353689312,blue,False,False,False,False,False,False,False,True,False,False,False
2021-07-19 00:00:00+03:00,-0.2849526236277553,-0.2921824286276332,0.007229804999877909,blue,False,False,False,False,False,False,False,True,False,False,True
2021-07-26 00:00:00+03:00,-0.2421225392217652,-0.2824654371765109,0.040342897954745716,aqua,False,False,False,False,False,True,False,False,False,False,False
2021-08-02 00:00:00+03:00,-0.18778484982496835,-0.26775910775532463,0.07997425793035629,aqua,False,False,False,False,False,True,False,False,False,False,False
2021-08-09 00:00:00+03:00,-0.16344544040455933,-0.25388217965524984,0.09043673925069051,aqua,False,False,False,False,False,True,False,False,False,False,False
2021-08-16 00:00:00+03:00,-0.1452559612019062,-0.23807070736609465,0.09281474616418844,aqua,False,False,False,False,False,True,False,False,False,False,False
2021-08-23 00:00:00+03:00,-0.11250278903985045,-0.2195742655656635,0.10707147652581306,aqua,False,False,False,False,False,True,False,False,False,False,False
2021-08-30 00:00:00+03:00,-0.08986905113978771,-0.19835790044440926,0.10848884930462155,aqua,False,False,False,False,False,True,False,False,False,True,False
