datetime,wt1,wt2,wt_diff,cross_up,cross_down,overbought,oversold,extreme_overbought,extreme_oversold,buy_signal,sell_signal,strong_buy,strong_sell,wt1_peak,wt1_trough,momentum,momentum_increasing,momentum_decreasing,ob_level1,ob_level2,os_level1,os_level2
2020-07-06 00:00:00+03:00,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,60,53,-60,-53
2020-07-13 00:00:00+03:00,33.333333333333336,,,False,False,False,False,False,False,False,False,False,False,False,False,33.333333333333336,True,False,60,53,-60,-53
2020-07-20 00:00:00+03:00,56.635569363815506,,,False,False,True,False,False,False,False,False,False,False,False,False,23.30223603048217,True,False,60,53,-60,-53
2020-07-27 00:00:00+03:00,67.85042093195648,39.45483090727633,28.395590024680146,False,False,True,False,True,False,False,False,False,False,True,False,11.214851568140972,True,False,60,53,-60,-53
2020-08-03 00:00:00+03:00,44.196347279343954,50.503917727112324,-6.30757044776837,False,True,False,False,False,False,False,False,False,False,False,False,-23.654073652612524,False,True,60,53,-60,-53
2020-08-10 00:00:00+03:00,29.586531176420586,49.56721718788413,-19.980686011463547,False,False,False,False,False,False,False,False,False,False,False,False,-14.609816102923368,False,True,60,53,-60,-53
2020-08-17 00:00:00+03:00,25.965743416773233,41.89976070112356,-15.934017284350329,False,False,False,False,False,False,False,False,False,False,False,True,-3.620787759647353,False,True,60,53,-60,-53
2020-08-24 00:00:00+03:00,27.608077051289,31.839174730956692,-4.231097679667691,False,False,False,False,False,False,False,False,False,False,True,False,1.6423336345157686,True,False,60,53,-60,-53
2020-08-31 00:00:00+03:00,22.0886422717731,26.31224847906398,-4.2236062072908815,False,False,False,False,False,False,False,False,False,False,False,False,-5.519434779515901,False,True,60,53,-60,-53
2020-09-07 00:00:00+03:00,17.673118448865782,23.33389529717528,-5.660776848309499,False,False,False,False,False,False,False,False,False,False,False,True,-4.415523822907318,False,True,60,53,-60,-53
2020-09-14 00:00:00+03:00,22.105349776237702,22.3687968870414,-0.2634471108036962,False,False,False,False,False,False,False,False,False,False,True,False,4.43223132737192,True,False,60,53,-60,-53
2020-09-21 00:00:00+03:00,21.463389981509454,20.83262511959651,0.6307648619129438,True,False,False,False,False,False,False,False,False,False,False,False,-0.6419597947282476,False,True,60,53,-60,-53
2020-09-28 00:00:00+03:00,21.228020962948566,20.617469792390377,0.610551170558189,False,False,False,False,False,False,False,False,False,False,False,True,-0.23536901856088832,False,True,60,53,-60,-53
2020-10-05 00:00:00+03:00,23.385037544267448,22.045449566240794,1.3395879780266533,False,False,False,False,False,False,False,False,False,False,False,False,2.1570165813188815,True,False,60,53,-60,-53
2020-10-12 00:00:00+03:00,23.6519410527019,22.432097385356844,1.2198436673450566,False,False,False,False,False,False,False,False,False,False,False,False,0.2669035084344529,True,False,60,53,-60,-53
2020-10-19 00:00:00+03:00,33.91582474092695,25.54520607521122,8.370618665715732,False,False,False,False,False,False,False,False,False,False,True,False,10.26388368822505,True,False,60,53,-60,-53
2020-10-26 00:00:00+03:00,28.14513251047235,27.274483962092162,0.8706485483801885,False,False,False,False,False,False,False,False,False,False,False,False,-5.7706922304546,False,True,60,53,-60,-53
2020-11-02 00:00:00+03:00,24.433109693692103,27.536501999448326,-3.1033923057562234,False,True,False,False,False,False,False,False,False,False,False,True,-3.712022816780248,False,True,60,53,-60,-53
