datetime,macd,signal,histogram,hist_color,macd_cross_up,macd_cross_down,macd_above_zero,macd_zero_cross_up,macd_zero_cross_down,bullish_momentum,bearish_momentum,weakening_bullish,weakening_bearish,macd_peak,macd_trough
2020-07-06 00:00:00+03:00,0.0,,,gray,False,False,False,False,False,False,False,False,False,False,False
2020-07-13 00:00:00+03:00,0.004293800419212346,,,gray,False,False,True,True,False,False,False,False,False,True,False
2020-07-20 00:00:00+03:00,-0.006443453203157645,,,gray,False,False,False,False,True,False,False,False,False,False,False
2020-07-27 00:00:00+03:00,-0.04288720285482839,,,gray,False,False,False,False,False,False,False,False,False,False,False
2020-08-03 00:00:00+03:00,-0.0494823100748647,,,gray,False,False,False,False,False,False,False,False,False,False,True
2020-08-10 00:00:00+03:00,-0.039252407928919375,,,gray,False,False,False,False,False,False,False,False,False,False,False
2020-08-17 00:00:00+03:00,-0.017128145321454902,,,gray,False,False,False,False,False,False,False,False,False,False,False
2020-08-24 00:00:00+03:00,-0.0015508735553835251,,,gray,False,False,False,False,False,False,False,False,False,False,False
2020-08-31 00:00:00+03:00,0.007158112900817137,-0.016143608846508783,0.02330172174732592,gray,False,False,True,True,False,False,False,False,False,False,False
2020-09-07 00:00:00+03:00,0.02795222902306982,-0.013037805621723249,0.04099003464479307,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-09-14 00:00:00+03:00,0.046657776139630514,-0.008330697208343452,0.054988473347973965,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-09-21 00:00:00+03:00,0.05961039795976664,-0.000991380412462976,0.06060177837222961,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-09-28 00:00:00+03:00,0.08625430635245124,0.013357676166123648,0.07289663018632758,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-10-05 00:00:00+03:00,0.1088785748753116,0.030953330049476573,0.07792524482583503,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-10-12 00:00:00+03:00,0.12653444479210307,0.049374091462923514,0.07716035332917956,blue,False,False,True,False,False,False,False,True,False,False,False
2020-10-19 00:00:00+03:00,0.15336812431705216,0.06831812142275763,0.08505000289429453,aqua,False,False,True,False,False,True,False,False,False,True,False
2020-10-26 00:00:00+03:00,0.1480521598889606,0.08494068069435141,0.06311147919460917,blue,False,False,True,False,False,False,False,True,False,False,True
2020-11-02 00:00:00+03:00,0.18474756751900046,0.10467284231859401,0.08007472520040644,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-11-09 00:00:00+03:00,0.23012870481836423,0.12713689518473784,0.10299180963362639,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-11-16 00:00:00+03:00,0.27516184289432566,0.15252623593525952,0.12263560695906614,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-11-23 00:00:00+03:00,0.32643533888706955,0.18217345159384873,0.14426188729322081,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-11-30 00:00:00+03:00,0.3558606154538131,0.2121297081606667,0.1437309072931464,blue,False,False,True,False,False,False,False,True,False,False,False
2020-12-07 00:00:00+03:00,0.47361639684896506,0.25265613282440597,0.2209602640245591,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-12-14 00:00:00+03:00,0.551890299280374,0.29991789443421385,0.2519724048461602,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-12-21 00:00:00+03:00,0.6170756167764422,0.35144094915192386,0.2656346676245183,aqua,False,False,True,False,False,True,False,False,False,False,False
2020-12-28 00:00:00+03:00,0.6907806355424446,0.41174411311342207,0.27903652242902255,aqua,False,False,True,False,False,True,False,False,False,False,False
2021-01-04 00:00:00+03:00,0.7433870315262254,0.4738151646697804,0.269571866856445,blue,False,False,True,False,False,False,False,True,False,False,False
2021-01-11 00:00:00+03:00,0.7827670778375504,0.5352194283385789,0.24754764949897146,blue,False,False,True,False,False,False,False,True,False,False,False
2021-01-18 00:00:00+03:00,0.789866898000704,0.5924088789059543,0.1974580190947497,blue,False,False,True,False,False,False,False,True,False,True,False
2021-01-25 00:00:00+03:00,0.7673012326409419,0.6413939782119401,0.12590725442900175,blue,False,False,True,False,False,False,False,True,False,False,False
2021-02-01 00:00:00+03:00,0.7506360163543802,0.6852579116453364,0.0653781047090437,blue,False,False,True,False,False,False,False,True,False,False,False
2021-02-08 00:00:00+03:00,0.7489324965875914,0.7158485893940727,0.033083907193518725,blue,False,False,True,False,False,False,False,True,False,False,False
2021-02-15 00:00:00+03:00,0.7254009637552663,0.7351275521135051,-0.009726588358238808,red,False,True,True,False,False,False,True,False,False,False,False
2021-02-22 00:00:00+03:00,0.692062043898428,0.7434593773492814,-0.0513973334508534,red,False,False,True,False,False,False,True,False,False,False,True
2021-03-01 00:00:00+03:00,0.7056771000514841,0.745114540072508,-0.039437440021023895,maroon,False,False,True,False,False,False,False,False,True,False,False
2021-03-08 00:00:00+03:00,0.7469463522220128,0.7455100201498177,0.0014363320721950679,aqua,True,False,True,False,False,True,False,False,False,False,False
2021-03-15 00:00:00+03:00,0.7528117412177231,0.7421816494142813,0.010630091803441766,aqua,False,False,True,False,False,True,False,False,False,True,False
2021-03-22 00:00:00+03:00,0.6496805879500354,0.7266053927419848,-0.07692480479194941,red,False,True,True,False,False,False,True,False,False,False,False
2021-03-29 00:00:00+03:00,0.6141725211499622,0.7095910914652093,-0.09541857031524703,red,False,False,True,False,False,False,True,False,False,False,True
2021-04-05 00:00:00+03:00,0.6246336393869738,0.6955908273577197,-0.0709571879707459,maroon,False,False,True,False,False,False,False,False,True,False,False
2021-04-12 00:00:00+03:00,0.704951264190445,0.6907040237580367,0.014247240432408215,aqua,True,False,True,False,False,True,False,False,False,False,False
2021-04-19 00:00:00+03:00,0.7461825605257859,0.6930130900658722,0.053169470459913715,aqua,False,False,True,False,False,True,False,False,False,False,False
2021-04-26 00:00:00+03:00,0.8109688850481289,0.7062249613047279,0.10474392374340102,aqua,False,False,True,False,False,True,False,False,False,False,False
2021-05-03 00:00:00+03:00,0.8798097890739704,0.7255730378627819,0.15423675121118852,aqua,False,False,True,False,False,True,False,False,False,False,False
2021-05-10 00:00:00+03:00,0.9334771434454945,0.7462986813320577,0.1871784621134368,aqua,False,False,True,False,False,True,False,False,False,True,False
2021-05-17 00:00:00+03:00,0.9149222427195225,0.7643109592767021,0.15061128344282038,blue,False,False,True,False,False,False,False,True,False,False,False
2021-05-24 00:00:00+03:00,0.9094756823357892,0.7931770808751192,0.11629860146067006,blue,False,False,True,False,False,False,False,True,False,False,False
2021-05-31 00:00:00+03:00,0.8831337225643034,0.823061658810046,0.06007206375425744,blue,False,False,True,False,False,False,False,True,False,False,False
2021-06-07 00:00:00+03:00,0.8637512765207056,0.8496302851582384,0.01412099136246725,blue,False,False,True,False,False,False,False,True,False,False,False
2021-06-14 00:00:00+03:00,0.7836837626735349,0.8583783405452484,-0.07469457787171352,red,False,True,True,False,False,False,True,False,False,False,False
2021-06-21 00:00:00+03:00,0.7256838444084082,0.8561007054210953,-0.13041686101268712,red,False,False,True,False,False,False,True,False,False,False,False
2021-06-28 00:00:00+03:00,0.6731435345719596,0.8407867775904099,-0.16764324301845024,red,False,False,True,False,False,False,True,False,False,False,False
2021-07-05 00:00:00+03:00,0.6196241353594676,0.8118772605110206,-0.19225312515155302,red,False,False,True,False,False,False,True,False,False,False,False
2021-07-12 00:00:00+03:00,0.5725834831759169,0.771777964925512,-0.1991944817495951,red,False,False,True,False,False,False,True,False,False,False,False
2021-07-19 00:00:00+03:00,0.5221768984160615,0.7281395933362386,-0.20596269492017705,red,False,False,True,False,False,False,True,False,False,False,True
2021-07-26 00:00:00+03:00,0.557925494866808,0.6890784613952406,-0.13115296652843267,maroon,False,False,True,False,False,False,False,False,True,False,False
2021-08-02 00:00:00+03:00,0.6108030648532434,0.6588194994273451,-0.04801643457410165,maroon,False,False,True,False,False,False,False,False,True,True,False
2021-08-09 00:00:00+03:00,0.6038941855026501,0.6299464893142278,-0.02605230381157775,maroon,False,False,True,False,False,False,False,False,True,False,False
2021-08-16 00:00:00+03:00,0.5486612566284048,0.6038328775314356,-0.05517162090303074,red,False,False,True,False,False,False,True,False,False,False,False
2021-08-23 00:00:00+03:00,0.5018674871266811,0.5789643933890214,-0.07709690626234034,red,False,False,True,False,False,False,True,False,False,False,False
2021-08-30 00:00:00+03:00,0.4360658576439356,0.5526224292859077,-0.11655657164197208,red,False,False,True,False,False,False,True,False,False,False,False
2021-09-06 00:00:00+03:00,0.3725162579121424,0.525165998458427,-0.15264974054628466,red,False,False,True,False,False,False,True,False,False,False,False
