datetime,wt1,wt2,wt_diff,cross_up,cross_down,overbought,oversold,extreme_overbought,extreme_oversold,buy_signal,sell_signal,strong_buy,strong_sell,wt1_peak,wt1_trough,momentum,momentum_increasing,momentum_decreasing,ob_level1,ob_level2,os_level1,os_level2
2020-07-06 00:00:00+03:00,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,60,53,-60,-53
2020-07-13 00:00:00+03:00,33.333333333333336,,,False,False,False,False,False,False,False,False,False,False,False,False,33.333333333333336,True,False,60,53,-60,-53
2020-07-20 00:00:00+03:00,48.65602015433613,,,False,False,False,False,False,False,False,False,False,False,True,False,15.322686821002797,True,False,60,53,-60,-53
2020-07-27 00:00:00+03:00,17.329343097691527,24.82967414634025,-7.500331048648722,False,False,False,False,False,False,False,False,False,False,False,False,-31.326677056644606,False,True,60,53,-60,-53
2020-08-03 00:00:00+03:00,-7.912439185465258,22.851564349973934,-30.764003535439194,False,False,False,False,False,False,False,False,False,False,False,False,-25.241782283156788,False,True,60,53,-60,-53
2020-08-10 00:00:00+03:00,-23.12189618085088,8.737756971427881,-31.85965315227876,False,False,False,False,False,False,False,False,False,False,False,False,-15.20945699538562,False,True,60,53,-60,-53
2020-08-17 00:00:00+03:00,-29.27174816331913,-10.744185107985935,-18.527563055333196,False,False,False,False,False,False,False,False,False,False,False,False,-6.1498519824682525,False,True,60,53,-60,-53
2020-08-24 00:00:00+03:00,-31.506779841753378,-22.95321584284716,-8.553563998906217,False,False,False,False,False,False,False,False,False,False,False,False,-2.2350316784342468,False,True,60,53,-60,-53
2020-08-31 00:00:00+03:00,-37.18795903713954,-30.27209580576573,-6.915863231373812,False,False,False,False,False,False,False,False,False,False,False,False,-5.681179195386164,False,True,60,53,-60,-53
2020-09-07 00:00:00+03:00,-41.31781635136898,-34.82107584839525,-6.496740502973729,False,False,False,False,False,False,False,False,False,False,False,False,-4.12985731422944,False,True,60,53,-60,-53
2020-09-14 00:00:00+03:00,-44.048875148656634,-38.515357594729636,-5.533517553926998,False,False,False,False,False,False,False,False,False,False,False,False,-2.731058797287652,False,True,60,53,-60,-53
2020-09-21 00:00:00+03:00,-47.23349498886264,-42.44703638150695,-4.786458607355691,False,False,False,False,False,False,False,False,False,False,False,False,-3.184619840206004,False,True,60,53,-60,-53
2020-09-28 00:00:00+03:00,-47.51690591466049,-45.02927310088719,-2.4876328137733026,False,False,False,False,False,False,False,False,False,False,False,True,-0.28341092579785254,False,True,60,53,-60,-53
2020-10-05 00:00:00+03:00,-47.241796445270126,-46.510268124362476,-0.7315283209076497,False,False,False,False,False,False,False,False,False,False,False,False,0.2751094693903653,True,False,60,53,-60,-53
2020-10-12 00:00:00+03:00,-43.6534258639899,-46.411405803195784,2.7579799392058817,True,False,False,False,False,False,False,False,False,False,False,False,3.5883705812802233,True,False,60,53,-60,-53
2020-10-19 00:00:00+03:00,-39.53064810251474,-44.48569408160881,4.9550459790940735,False,False,False,False,False,False,False,False,False,False,True,False,4.122777761475163,True,False,60,53,-60,-53
2020-10-26 00:00:00+03:00,-43.93668725456144,-43.590639416584054,-0.3460478379773875,False,True,False,False,False,False,False,False,False,False,False,True,-4.406039152046702,False,True,60,53,-60,-53
2020-11-02 00:00:00+03:00,-38.49859118160666,-41.40483810066819,2.906246919061523,True,False,False,False,False,False,False,False,False,False,False,False,5.438096072954778,True,False,60,53,-60,-53
