datetime,macd,signal,histogram,hist_color,macd_cross_up,macd_cross_down,macd_above_zero,macd_zero_cross_up,macd_zero_cross_down,bullish_momentum,bearish_momentum,weakening_bullish,weakening_bearish,macd_peak,macd_trough
2020-07-06 00:00:00+03:00,0.0,,,gray,False,False,False,False,False,False,False,False,False,False,False
2020-07-13 00:00:00+03:00,0.01492154700124404,,,gray,False,False,True,True,False,False,False,False,False,False,False
2020-07-20 00:00:00+03:00,0.03254640452754476,,,gray,False,False,True,False,False,False,False,False,False,False,False
2020-07-27 00:00:00+03:00,0.0427624632255208,,,gray,False,False,True,False,False,False,False,False,False,False,False
2020-08-03 00:00:00+03:00,0.046718392783065,,,gray,False,False,True,False,False,False,False,False,False,True,False
2020-08-10 00:00:00+03:00,0.03165081236708067,,,gray,False,False,True,False,False,False,False,False,False,False,False
2020-08-17 00:00:00+03:00,0.023385005941982673,,,gray,False,False,True,False,False,False,False,False,False,False,False
2020-08-24 00:00:00+03:00,0.00799469258586738,,,gray,False,False,True,False,False,False,False,False,False,False,False
2020-08-31 00:00:00+03:00,-0.012462866727892319,0.020835161300490332,-0.03329802802838265,gray,False,False,False,False,True,False,False,False,False,False,False
2020-09-07 00:00:00+03:00,-0.02580543070442065,0.017967891222221373,-0.043773321926642024,red,False,False,False,False,False,False,True,False,False,False,True
2020-09-14 00:00:00+03:00,-0.02324768047784298,0.01372686594676726,-0.03697454642461024,maroon,False,False,False,False,False,False,False,False,True,True,False
2020-09-21 00:00:00+03:00,-0.037087308142755404,0.005989786761178352,-0.04307709490393376,red,False,False,False,False,False,False,True,False,False,False,True
2020-09-28 00:00:00+03:00,-0.034281797855912455,-0.0025706866923142315,-0.031711111163598225,maroon,False,False,False,False,False,False,False,False,True,False,False
2020-10-05 00:00:00+03:00,-0.029997401753974806,-0.011094663863096432,-0.018902737890878374,maroon,False,False,False,False,False,False,False,False,True,False,False
2020-10-12 00:00:00+03:00,-0.029520521593245697,-0.01789147874757714,-0.011629042845668555,maroon,False,False,False,False,False,False,False,False,True,True,False
2020-10-19 00:00:00+03:00,-0.032540877595085504,-0.024105465807251383,-0.008435411787834121,maroon,False,False,False,False,False,False,False,False,True,False,False
2020-10-26 00:00:00+03:00,-0.04979707554093382,-0.03052677337689596,-0.019270302164037863,red,False,False,False,False,False,False,True,False,False,False,True
2020-11-02 00:00:00+03:00,-0.0386715043270196,-0.033438844221243436,-0.005232660105776166,maroon,False,False,False,False,False,False,False,False,True,True,False
