datetime,wt1,wt2,wt_diff,cross_up,cross_down,overbought,oversold,extreme_overbought,extreme_oversold,buy_signal,sell_signal,strong_buy,strong_sell,wt1_peak,wt1_trough,momentum,momentum_increasing,momentum_decreasing,ob_level1,ob_level2,os_level1,os_level2
2020-07-06 00:00:00+03:00,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,60,53,-60,-53
2020-07-13 00:00:00+03:00,33.33333333333333,,,False,False,False,False,False,False,False,False,False,False,False,False,33.33333333333333,True,False,60,53,-60,-53
2020-07-20 00:00:00+03:00,52.66388540183547,,,False,False,False,False,False,False,False,False,False,False,False,False,19.330552068502143,True,False,60,53,-60,-53
2020-07-27 00:00:00+03:00,64.33390771731676,37.58278161312139,26.75112610419537,False,False,True,False,True,False,False,False,False,False,True,False,11.67002231548129,True,False,60,53,-60,-53
2020-08-03 00:00:00+03:00,58.76142020542358,52.273136664477285,6.4882835409462984,False,False,True,False,False,False,False,False,False,False,False,False,-5.572487511893179,False,True,60,53,-60,-53
2020-08-10 00:00:00+03:00,43.87014311886976,54.90733911086139,-11.03719599199163,False,True,False,False,False,False,False,False,False,False,False,False,-14.89127708655382,False,True,60,53,-60,-53
2020-08-17 00:00:00+03:00,31.758839073929444,49.681077528884884,-17.92223845495544,False,False,False,False,False,False,False,False,False,False,False,False,-12.111304044940319,False,True,60,53,-60,-53
2020-08-24 00:00:00+03:00,16.402621177091888,37.69825589382867,-21.295634716736785,False,False,False,False,False,False,False,False,False,False,False,False,-15.356217896837556,False,True,60,53,-60,-53
2020-08-31 00:00:00+03:00,1.93292194982714,23.49113132992956,-21.55820938010242,False,False,False,False,False,False,False,False,False,False,False,False,-14.469699227264748,False,True,60,53,-60,-53
2020-09-07 00:00:00+03:00,-6.590891276243344,10.875872731151283,-17.466764007394627,False,False,False,False,False,False,False,False,False,False,False,False,-8.523813226070484,False,True,60,53,-60,-53
2020-09-14 00:00:00+03:00,-8.39354351071349,0.8377770849905484,-9.23132059570404,False,False,False,False,False,False,False,False,False,False,False,False,-1.8026522344701466,False,True,60,53,-60,-53
2020-09-21 00:00:00+03:00,-14.323389791875325,-6.843725657251255,-7.47966413462407,False,False,False,False,False,False,False,False,False,False,False,False,-5.929846281161835,False,True,60,53,-60,-53
2020-09-28 00:00:00+03:00,-15.50353616583025,-11.202840186165602,-4.300695979664647,False,False,False,False,False,False,False,False,False,False,False,True,-1.1801463739549245,False,True,60,53,-60,-53
2020-10-05 00:00:00+03:00,-12.158531784829648,-12.59475031331218,0.43621852848253084,True,False,False,False,False,False,False,False,False,False,False,False,3.345004381000601,True,False,60,53,-60,-53
