datetime,macd,signal,histogram,hist_color,macd_cross_up,macd_cross_down,macd_above_zero,macd_zero_cross_up,macd_zero_cross_down,bullish_momentum,bearish_momentum,weakening_bullish,weakening_bearish,macd_peak,macd_trough
2020-07-06 00:00:00+03:00,0.0,,,gray,False,False,False,False,False,False,False,False,False,False,False
2020-07-13 00:00:00+03:00,0.019666329408303262,,,gray,False,False,True,True,False,False,False,False,False,True,False
2020-07-20 00:00:00+03:00,0.01256176744213544,,,gray,False,False,True,False,False,False,False,False,False,False,False
2020-07-27 00:00:00+03:00,-0.04034722503364918,,,gray,False,False,False,False,True,False,False,False,False,False,False
2020-08-03 00:00:00+03:00,-0.11739558348513768,,,gray,False,False,False,False,False,False,False,False,False,False,False
2020-08-10 00:00:00+03:00,-0.17052333582807755,,,gray,False,False,False,False,False,False,False,False,False,False,False
2020-08-17 00:00:00+03:00,-0.19316004542619947,,,gray,False,False,False,False,False,False,False,False,False,False,False
2020-08-24 00:00:00+03:00,-0.22573841704965858,,,gray,False,False,False,False,False,False,False,False,False,False,False
2020-08-31 00:00:00+03:00,-0.2545901939616222,-0.10772518932598955,-0.14686500463563262,gray,False,False,False,False,False,False,False,False,False,False,False
2020-09-07 00:00:00+03:00,-0.2703602382030814,-0.1377652157929986,-0.1325950224100828,maroon,False,False,False,False,False,False,False,False,True,False,False
2020-09-14 00:00:00+03:00,-0.2875012426319463,-0.171894946019693,-0.11560629661225333,maroon,False,False,False,False,False,False,False,False,True,False,True
2020-09-21 00:00:00+03:00,-0.28388792279895725,-0.2048338004909255,-0.07905412230803174,maroon,False,False,False,False,False,False,False,False,True,False,False
2020-09-28 00:00:00+03:00,-0.2555331330001982,-0.22874334582054207,-0.026789787179656133,maroon,False,False,False,False,False,False,False,False,True,False,False
2020-10-05 00:00:00+03:00,-0.21729470688793473,-0.23984324842085286,0.02254854153291813,aqua,True,False,False,False,False,True,False,False,False,False,False
2020-10-12 00:00:00+03:00,-0.1828929153492469,-0.24121764614542723,0.058324730796180335,aqua,False,False,False,False,False,True,False,False,False,False,False
