datetime,macd,signal,histogram,hist_color,macd_cross_up,macd_cross_down,macd_above_zero,macd_zero_cross_up,macd_zero_cross_down,bullish_momentum,bearish_momentum,weakening_bullish,weakening_bearish,macd_peak,macd_trough
2024-10-15 08:00:00+03:00,0.0,,,gray,False,False,False,False,False,False,False,False,False,False,False
2024-10-15 12:00:00+03:00,0.02233608495815531,,,gray,False,False,True,True,False,False,False,False,False,False,False
2024-10-15 16:00:00+03:00,0.09542184104352458,,,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-16 08:00:00+03:00,0.18988589443930692,,,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-16 12:00:00+03:00,0.24737325216340622,,,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-16 16:00:00+03:00,0.35819817368852824,,,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-17 08:00:00+03:00,0.5733664256890876,,,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-17 12:00:00+03:00,0.7561520570290483,,,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-17 16:00:00+03:00,0.8763840565887406,0.34656864284442196,0.5298154137443187,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-18 08:00:00+03:00,1.0068635862813125,0.4584423746534567,0.5484212116278557,aqua,False,False,True,False,False,True,False,False,False,False,False
2024-10-18 12:00:00+03:00,1.0944259529068532,0.5775634710922009,0.5168624818146523,blue,False,False,True,False,False,False,False,True,False,False,False
2024-10-18 16:00:00+03:00,1.176083897252937,0.6976370328932467,0.4784468643596903,blue,False,False,True,False,False,False,False,True,False,False,False
2024-10-21 08:00:00+03:00,1.2585672073121117,0.816379400990225,0.4421878063218867,blue,False,False,True,False,False,False,False,True,False,True,False
2024-10-21 12:00:00+03:00,1.1764265967978318,0.9196075503940501,0.2568190464037817,blue,False,False,True,False,False,False,False,True,False,False,False
2024-10-21 16:00:00+03:00,1.0539923724936457,0.996918016927952,0.057074355565693735,blue,False,False,True,False,False,False,False,True,False,False,False
2024-10-22 08:00:00+03:00,1.051355934549072,1.0500279623568392,0.0013279721922327958,blue,False,False,True,False,False,False,False,True,False,False,True
2024-10-22 12:00:00+03:00,1.091554123642993,1.0872948586472775,0.004259264995715606,aqua,False,False,True,False,False,True,False,False,False,False,False
2024-10-22 16:00:00+03:00,1.1297545011453494,1.1154471302646785,0.014307370880670911,aqua,False,False,True,False,False,True,False,False,False,True,False
2024-10-23 08:00:00+03:00,1.0877774037422014,1.1244375544269996,-0.03666015068479811,red,False,True,True,False,False,False,True,False,False,False,False
2024-10-23 12:00:00+03:00,0.9914389584117416,1.1129945550386537,-0.12155559662691218,red,False,False,True,False,False,False,True,False,False,False,False
2024-10-23 16:00:00+03:00,0.9333796672160801,1.086027418367892,-0.15264775115181184,red,False,False,True,False,False,False,True,False,False,False,True
2024-10-24 08:00:00+03:00,0.9394769380783075,1.0505729440085803,-0.1110960059302728,maroon,False,False,True,False,False,False,False,False,True,True,False
