datetime,macd,signal,histogram,hist_color,macd_cross_up,macd_cross_down,macd_above_zero,macd_zero_cross_up,macd_zero_cross_down,bullish_momentum,bearish_momentum,weakening_bullish,weakening_bearish,macd_peak,macd_trough
2024-10-15 08:00:00+03:00,0.0,,,gray,False,False,False,False,False,False,False,False,False,False,False
2024-10-15 12:00:00+03:00,0.1276358145254477,,,gray,False,False,True,True,False,False,False,False,False,False,False
2024-10-15 16:00:00+03:00,0.2899981437635404,,,gray,False,False,True,False,False,False,False,False,False,True,False
2024-10-16 08:00:00+03:00,0.23840194266566073,,,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-16 12:00:00+03:00,0.20323782358534004,,,gray,False,False,True,False,False,False,False,False,False,False,True
2024-10-16 16:00:00+03:00,0.28505252068842424,,,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-17 08:00:00+03:00,0.3139949391954957,,,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-17 12:00:00+03:00,0.33309233330564325,,,gray,False,False,True,False,False,False,False,False,False,True,False
2024-10-17 16:00:00+03:00,0.24853250281073258,0.2266606689489205,0.021871833861812073,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-18 08:00:00+03:00,0.12360882312077592,0.24039498262900671,-0.11678615950823079,red,False,True,True,False,False,False,True,False,False,False,False
2024-10-18 12:00:00+03:00,-0.11926388067806215,0.21296168316195008,-0.33222556384001223,red,False,False,False,False,True,False,True,False,False,False,False
2024-10-18 16:00:00+03:00,-0.45177961706318115,0.130541931958981,-0.5823215490221622,red,False,False,False,False,False,False,True,False,False,False,False
2024-10-21 08:00:00+03:00,-0.731081025857705,0.022821602123051496,-0.7539026279807565,red,False,False,False,False,False,False,True,False,False,False,False
2024-10-21 12:00:00+03:00,-0.8857346872287479,-0.09817534352295827,-0.7875593437057896,red,False,False,False,False,False,False,True,False,False,False,False
2024-10-21 16:00:00+03:00,-1.2201703099562025,-0.2654223247056946,-0.9547479852505079,red,False,False,False,False,False,False,True,False,False,False,True
2024-10-22 08:00:00+03:00,-1.20503934004455,-0.4342039112879219,-0.7708354287566281,maroon,False,False,False,False,False,False,False,False,True,False,False
2024-10-22 12:00:00+03:00,-1.1076569559690768,-0.5942871656517796,-0.5133697903172971,maroon,False,False,False,False,False,False,False,False,True,False,False
2024-10-22 16:00:00+03:00,-1.090532338533123,-0.7430721480233191,-0.3474601905098038,maroon,False,False,False,False,False,False,False,False,True,True,False
2024-10-23 08:00:00+03:00,-1.304004135829345,-0.9016958101288881,-0.40230832570045694,red,False,False,False,False,False,False,True,False,False,False,False
2024-10-23 12:00:00+03:00,-1.3766215937015431,-1.0414022226870527,-0.3352193710144904,maroon,False,False,False,False,False,False,False,False,True,False,True
2024-10-23 16:00:00+03:00,-1.3540103193821267,-1.1416500785002688,-0.2123602408818579,maroon,False,False,False,False,False,False,False,False,True,False,False
2024-10-24 08:00:00+03:00,-1.1613204569451625,-1.1894544597322085,0.02813400278704603,aqua,True,False,False,False,False,True,False,False,False,False,False
2024-10-24 12:00:00+03:00,-1.0449813209834815,-1.2071485301494012,0.16216720916591965,aqua,False,False,False,False,False,True,False,False,False,False,False
2024-10-24 16:00:00+03:00,-0.9419238062444606,-1.1762322519592077,0.23430844571474707,aqua,False,False,False,False,False,True,False,False,False,False,False
2024-10-25 08:00:00+03:00,-0.8265146973344173,-1.1341739583247485,0.30765926099033125,aqua,False,False,False,False,False,True,False,False,False,True,False
