datetime,macd,signal,histogram,hist_color,macd_cross_up,macd_cross_down,macd_above_zero,macd_zero_cross_up,macd_zero_cross_down,bullish_momentum,bearish_momentum,weakening_bullish,weakening_bearish,macd_peak,macd_trough
2024-10-15 08:00:00+03:00,0.0,,,gray,False,False,False,False,False,False,False,False,False,False,False
2024-10-15 12:00:00+03:00,0.38290622635105365,,,gray,False,False,True,True,False,False,False,False,False,False,False
2024-10-15 16:00:00+03:00,0.7742666306015167,,,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-16 08:00:00+03:00,0.8008386770368645,,,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-16 12:00:00+03:00,0.852416905132543,,,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-16 16:00:00+03:00,1.162315324237312,,,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-17 08:00:00+03:00,1.551411631806758,,,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-17 12:00:00+03:00,1.91037486372133,,,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-17 16:00:00+03:00,2.026253222332201,1.0511981645799533,0.9750550577522479,gray,False,False,True,False,False,False,False,False,False,False,False
2024-10-18 08:00:00+03:00,2.2136080249779297,1.2971546117997232,0.9164534131782065,blue,False,False,True,False,False,False,False,True,False,True,False
2024-10-18 12:00:00+03:00,2.0160813544014786,1.478618514916437,0.5374628394850416,blue,False,False,True,False,False,False,False,True,False,False,False
2024-10-18 16:00:00+03:00,1.5910547711405911,1.569372752754112,0.021682018386479207,blue,False,False,True,False,False,False,False,True,False,False,False
2024-10-21 08:00:00+03:00,1.1362223275952203,1.6066376028161515,-0.4704152752209312,red,False,True,True,False,False,False,True,False,False,False,False
2024-10-21 12:00:00+03:00,0.6153560380424494,1.5802975064728078,-0.9649414684303583,red,False,False,True,False,False,False,True,False,False,False,False
2024-10-21 16:00:00+03:00,0.000827109896647471,1.451243260434956,-1.4504161505383086,red,False,False,True,False,False,False,True,False,False,False,False
2024-10-22 08:00:00+03:00,-0.4567189819280202,1.2281176366866475,-1.6848366186146677,red,False,False,False,False,True,False,True,False,False,False,True
2024-10-22 12:00:00+03:00,-0.4191077859807706,0.9692862311641919,-1.3883940171449625,maroon,False,False,False,False,False,False,False,False,True,True,False
2024-10-22 16:00:00+03:00,-0.47261272507742547,0.691634459229789,-1.1642471843072144,maroon,False,False,False,False,False,False,False,False,True,False,False
2024-10-23 08:00:00+03:00,-0.8760987029968135,0.3483337116770397,-1.2244324146738532,red,False,False,False,False,False,False,True,False,False,False,False
2024-10-23 12:00:00+03:00,-1.2380763772607395,-0.013239369618762313,-1.2248370076419772,red,False,False,False,False,False,False,True,False,False,False,False
2024-10-23 16:00:00+03:00,-1.491613814191652,-0.35575810132234487,-1.135855712869307,maroon,False,False,False,False,False,False,False,False,True,False,True
2024-10-24 08:00:00+03:00,-1.4339395688903096,-0.6413316453762926,-0.792607923514017,maroon,False,False,False,False,False,False,False,False,True,False,False
2024-10-24 12:00:00+03:00,-1.3006164005681455,-0.854217471888581,-0.44639892867956454,maroon,False,False,False,False,False,False,False,False,True,False,False
2024-10-24 16:00:00+03:00,-1.1893167823560873,-0.9864556821388848,-0.2028611002172025,maroon,False,False,False,False,False,False,False,False,True,False,False
2024-10-25 08:00:00+03:00,-1.1603571440763574,-1.0646377001553669,-0.09571944392099052,maroon,False,False,False,False,False,False,False,False,True,True,False
2024-10-25 12:00:00+03:00,-1.2121943001880595,-1.1527584239561766,-0.059435876231882956,maroon,False,False,False,False,False,False,False,False,True,False,True
2024-10-25 16:00:00+03:00,-1.1432670243452776,-1.2272755683192713,0.08400854397399371,aqua,True,False,False,False,False,True,False,False,False,False,False
2024-10-28 08:00:00+03:00,-1.0762354888633752,-1.2495129889711114,0.17327750010773624,aqua,False,False,False,False,False,True,False,False,False,False,False
2024-10-28 12:00:00+03:00,-1.035384979564924,-1.2269917225604654,0.19160674299554148,aqua,False,False,False,False,False,True,False,False,False,False,False
2024-10-30 08:00:00+03:00,-1.023488680779252,-1.1749778188479765,0.15148913806872444,blue,False,False,False,False,False,False,False,True,False,False,False
2024-10-30 12:00:00+03:00,-0.8908241053070469,-1.114631656227614,0.22380755092056703,aqua,False,False,False,False,False,True,False,False,False,False,False
2024-10-30 16:00:00+03:00,-0.7767327814435703,-1.0564223652137723,0.27968958377020203,aqua,False,False,False,False,False,True,False,False,False,False,False
2024-10-31 08:00:00+03:00,-0.7263558539909241,-1.0049822620620874,0.27862640807116335,blue,False,False,False,False,False,False,False,True,False,True,False
2024-10-31 12:00:00+03:00,-0.806245006221701,-0.9656364689671256,0.1593914627454246,blue,False,False,False,False,False,False,False,True,False,False,False
