datetime,squeeze_on,squeeze_off,no_squeeze,momentum,momentum_hist,momentum_color,squeeze_release,squeeze_start,bb_upper,bb_lower,kc_upper,kc_lower
2024-10-15 08:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-15 12:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-15 16:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-16 08:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-16 12:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-16 16:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-17 08:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-17 12:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-17 16:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-18 08:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-18 12:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-18 16:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-21 08:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-21 12:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-21 16:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-22 08:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-22 12:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-22 16:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-23 08:00:00+03:00,False,False,True,,,gray,False,False,,,,
2024-10-23 12:00:00+03:00,True,False,False,,,gray,False,False,88.58626567909162,84.13873432090837,88.93125057220459,83.7937494277954
2024-10-23 16:00:00+03:00,True,False,False,,,gray,False,False,88.47377644556062,84.52622355443938,89.03125057220458,83.96874942779542
2024-10-24 08:00:00+03:00,True,False,False,,,gray,False,False,88.64253003160877,84.57247012097912,89.06375064849854,84.15124950408935
2024-10-24 12:00:00+03:00,True,False,False,,,gray,False,False,88.69153887656206,84.59846127602582,89.0975004196167,84.19249973297119
2024-10-24 16:00:00+03:00,True,False,False,,,gray,False,False,88.71492837869212,84.70007177389576,89.11875076293944,84.29624938964844
2024-10-25 08:00:00+03:00,True,False,False,,,gray,False,False,88.79974636802069,84.76025424233086,89.22500133514404,84.33499927520751
2024-10-25 12:00:00+03:00,True,False,False,,,gray,False,False,88.72141579384885,84.76858512167848,89.13375205993651,84.35624885559082
2024-10-25 16:00:00+03:00,True,False,False,,,gray,False,False,88.79503330536288,84.75496745757657,89.14125175476075,84.4087490081787
2024-10-28 08:00:00+03:00,True,False,False,,,gray,False,False,88.83218064424985,84.75281996610171,89.14375190734863,84.44124870300293
2024-10-28 12:00:00+03:00,True,False,False,,,gray,False,False,88.90582942613392,84.74917087904186,89.09250164031982,84.56249866485595
2024-10-30 08:00:00+03:00,True,False,False,,,gray,False,False,88.99560238167682,84.79439777091106,89.1337516784668,84.65624847412109
2024-10-30 12:00:00+03:00,True,False,False,,,gray,False,False,88.98145834206119,85.1185416579388,89.27375183105468,84.82624816894531
2024-10-30 16:00:00+03:00,True,False,False,,,gray,False,False,88.88942452916741,85.50557592859626,89.3725019454956,85.02249851226807
2024-10-31 08:00:00+03:00,True,False,False,,,gray,False,False,88.69553354570618,85.91446706464538,89.50625190734863,85.10374870300294
2024-10-31 12:00:00+03:00,True,False,False,,,gray,False,False,88.78474431699829,85.73525690370485,89.45750255584717,85.06249866485597
2024-10-31 16:00:00+03:00,True,False,False,,,gray,False,False,88.83742830437839,85.65757291632474,89.37750244140625,85.11749877929688
2024-11-01 08:00:00+03:00,True,False,False,,,gray,False,False,88.98972516191257,85.32027544843898,89.22875156402587,85.08124904632568
2024-11-01 12:00:00+03:00,True,False,False,,,gray,False,False,88.85143677831452,85.24356367944914,89.03875102996825,85.05624942779541
2024-11-01 16:00:00+03:00,True,False,False,,,gray,False,False,88.72102575319074,85.18897485716083,88.93125133514405,84.97874927520752
2024-11-04 08:00:00+03:00,True,False,False,-1.0907321112496504,-1.0907321112496504,gray,False,False,88.80032102308115,84.91967943468251,88.87375125885009,84.84624919891357
2024-11-04 12:00:00+03:00,False,True,False,-1.5642673165457601,-1.5642673165457601,red,True,False,89.05126179681636,84.46373911871098,88.73375091552734,84.78125
2024-11-04 16:00:00+03:00,False,True,False,-1.9903201321193154,-1.9903201321193154,red,False,False,89.2477487049908,83.95725236312443,88.5150011062622,84.68999996185302
2024-11-05 08:00:00+03:00,False,True,False,-2.2633028166634706,-2.2633028166634706,red,False,False,89.2614400057751,83.52356060457647,88.35000076293946,84.43499984741212
2024-11-05 12:00:00+03:00,False,True,False,-2.531713995252338,-2.531713995252338,red,False,False,89.30398283702813,83.13601731555976,88.17375030517577,84.26624984741211
2024-11-05 16:00:00+03:00,False,True,False,-2.762214543478829,-2.762214543478829,red,False,False,89.31155689801044,82.79844294940166,87.96000003814697,84.14999980926513
2024-11-06 08:00:00+03:00,False,True,False,-2.619089320046562,-2.619089320046562,maroon,False,False,89.1361618459136,82.72883754373483,87.91999969482421,83.94499969482422
2024-11-06 12:00:00+03:00,False,True,False,-2.5342673819405697,-2.5342673819405697,maroon,False,False,89.02148718119757,82.63351236103877,87.82999954223634,83.825
2024-11-06 16:00:00+03:00,False,True,False,-2.273445219312397,-2.273445219312397,maroon,False,False,88.77401349371799,82.63598635369412,87.65499935150146,83.75500049591065
2024-11-07 08:00:00+03:00,False,True,False,-1.8083555548531685,-1.8083555548531685,maroon,False,False,88.6214434738668,82.6785565261332,87.61499919891358,83.68500080108643
2024-11-07 12:00:00+03:00,False,True,False,-1.3180341121128638,-1.3180341121128638,maroon,False,False,88.42143713043879,82.74856332732489,87.60249977111816,83.56750068664552
2024-11-07 16:00:00+03:00,False,True,False,-0.7133201926095138,-0.7133201926095138,maroon,False,False,88.29226380892575,82.8077369540137,87.5712501525879,83.52875061035157
2024-11-08 08:00:00+03:00,False,True,False,0.36846477781023523,0.36846477781023523,lime,False,False,88.93985940310539,82.3801410546583,87.92500000000001,83.39500045776367
2024-11-08 12:00:00+03:00,False,True,False,1.6204820823669488,1.6204820823669488,lime,False,False,90.00083931301772,81.69916068698227,88.24250011444092,83.45749988555907
2024-11-08 16:00:00+03:00,False,True,False,2.6786613927568736,2.6786613927568736,lime,False,False,90.90364751950806,81.22135248049194,88.37250022888183,83.75249977111817
2024-11-11 08:00:00+03:00,False,True,False,3.7227685846601233,3.7227685846601233,lime,False,False,92.24135748959617,80.62864220522806,88.81249961853028,84.05750007629395
2024-11-11 12:00:00+03:00,False,True,False,4.757482858385357,4.757482858385357,lime,False,False,93.70957715440706,80.09542315076872,89.39249992370605,84.41250038146973
2024-11-11 16:00:00+03:00,False,True,False,5.822607370104109,5.822607370104109,lime,False,False,95.3115789676671,79.57342164268447,89.97749996185303,84.90750064849854
2024-11-12 08:00:00+03:00,False,True,False,6.747304147992815,6.747304147992815,lime,False,False,96.5663386016922,79.26866200865936,90.4599998474121,85.37500076293945
2024-11-12 12:00:00+03:00,False,True,False,7.441340054103308,7.441340054103308,lime,False,False,97.54921199414046,79.175788768799,90.95374946594238,85.77125129699708
2024-11-12 16:00:00+03:00,False,True,False,7.93401899610247,7.93401899610247,lime,False,False,98.44284765811447,79.30715310482499,91.3724988937378,86.37750186920167
2024-11-13 08:00:00+03:00,False,True,False,7.954376079014372,7.954376079014372,lime,False,False,98.9340076362563,79.82099266891947,91.8899990081787,86.86500129699706
2024-11-13 12:00:00+03:00,False,True,False,7.971519238608226,7.971519238608226,lime,False,False,99.43026180375067,80.44473819624933,92.55499897003173,87.32000102996827
2024-11-13 16:00:00+03:00,False,True,False,7.844573020935057,7.844573020935057,green,False,False,99.78230269047253,81.22769791987903,93.03999938964844,87.97000122070312
2024-11-14 08:00:00+03:00,False,True,False,7.737216050284246,7.737216050284246,green,False,False,100.13287434041217,82.11212688029096,93.7212501525879,88.52375106811523
2024-11-14 12:00:00+03:00,False,True,False,7.484965831211632,7.484965831211632,green,False,False,100.3052460303902,83.1847556480766,94.37375049591064,89.11625118255616
2024-11-14 16:00:00+03:00,False,True,False,7.0475007247924815,7.0475007247924815,green,False,False,100.37077276451963,84.15422876135928,94.74500007629395,89.78000144958496
