symbol,entry_date,exit_date,entry_price,exit_price,shares,profit,profit_pct,reason
ISCTR,2025-01-02,2025-01-06,13.845354080200195,13.934042930603027,1733,153.6977777481079,0.640567585986574,Rotation
AKBNK,2025-01-02,2025-01-08,64.75541687011719,62.21215438842773,555,-1411.5106773376538,-3.9274899376998853,Stop Loss
SAHOL,2025-01-06,2025-01-10,100.77007293701172,97.68429565429688,237,-731.329216003418,-3.062196138970415,Stop Loss
MGROS,2025-01-02,2025-01-10,531.0643920898438,529.0919799804688,67,-132.151611328125,-0.3714073356741481,Rotation
KOZAL,2025-01-08,2025-01-14,22.71999931335449,21.780000686645508,666,-626.0390853881818,-4.137318024285608,Stop Loss
TCELL,2025-01-08,2025-01-16,94.86251831054688,96.42967987060548,246,385.5217437744177,1.6520345316242468,Rotation
YKBNK,2025-01-10,2025-01-20,30.700000762939453,31.979999542236328,763,976.6390686035156,4.1693770276451225,Rotation
AKBNK,2025-01-13,2025-01-21,61.42961120605469,67.05414581298828,109,613.0742721557617,9.156064146437611,Take Profit
GARAN,2025-01-14,2025-01-22,122.76095581054688,132.88656616210938,115,1164.4451904296875,8.248233556595173,Take Profit
SAHOL,2025-01-16,2025-01-22,94.21278381347656,98.45574188232422,208,882.5352783203125,4.503590592597187,Rotation
GARAN,2025-01-22,2025-01-23,132.88656616210938,128.73988342285156,96,-398.08154296875,-3.1204679743167127,Stop Loss
MGROS,2025-01-10,2025-01-24,529.0919799804688,551.7744140625,27,612.4257202148438,4.287049310947515,Rotation
AKSEN,2025-01-20,2025-01-27,40.2599983215332,41.5,501,621.2408409118652,3.0799844266351535,Stop Loss
ASELS,2025-01-22,2025-01-28,82.0,89.6500015258789,278,2126.700424194336,9.329270153510862,Take Profit
BIMAS,2025-01-16,2025-01-28,504.0,522.5,9,166.5,3.670634920634921,Rotation
TCELL,2025-01-24,2025-01-30,104.21654510498048,105.1960220336914,142,139.0857238769513,0.9398478214032789,Rotation
YKBNK,2025-01-21,2025-01-31,32.58000183105469,30.71999931335449,346,-643.5608711242694,-5.709031347957994,Stop Loss
GARAN,2025-01-23,2025-01-31,128.73988342285156,122.76095581054688,97,-579.9559783935547,-4.64419219074997,Stop Loss
ISCTR,2025-01-10,2025-02-03,14.150837898254396,13.451179504394531,1035,-724.1464376449603,-4.944289510560875,Stop Loss
