symbol,entry_date,exit_date,entry_price,exit_price,shares,profit,profit_pct,reason
GARAN,2024-01-02,2024-01-08,54.27599334716797,57.27339172363281,103,308.7320327758789,5.522512240895252,Quick Profit
AKBNK,2024-01-02,2024-01-08,34.25271987915039,37.90859222412109,164,599.5630645751944,10.673232250954836,Quick Profit
PETKM,2024-01-04,2024-01-08,19.540000915527344,20.399999618530277,357,307.0195369720468,4.401221405877926,Quick Profit
PETKM,2024-01-04,2024-01-09,19.540000915527344,19.649999618530277,357,39.26953697204681,0.5629411353585068,Stop Loss
YKBNK,2024-01-08,2024-01-10,21.084491729736328,22.579572677612305,340,508.32752227783203,7.090903432912269,Quick Profit
ISCTR,2024-01-08,2024-01-12,9.719510078430176,9.973061561584473,415,105.2238655090332,2.608685840215196,Quick Profit
PETKM,2024-01-09,2024-01-12,19.649999618530277,20.399999618530277,164,123.0,3.8167939672260225,Quick Profit
YKBNK,2024-01-08,2024-01-12,21.084491729736328,21.985374450683597,340,306.3001251220712,4.272726762849665,Stop Loss
KCHOL,2024-01-12,2024-01-15,143.0640411376953,147.48016357421875,41,181.06101989746094,3.0868151083982296,Quick Profit
TCELL,2024-01-05,2024-01-16,58.17500686645508,61.02439498901367,71,202.30655670166016,4.897959237202274,Quick Profit
GARAN,2024-01-02,2024-01-16,54.27599334716797,58.79515075683594,104,469.99237060546875,8.326254631143975,Stop Loss
AKBNK,2024-01-02,2024-01-16,34.25271987915039,39.1834602355957,164,808.6414184570312,14.395179051012095,Stop Loss
PETKM,2024-01-09,2024-01-18,19.649999618530277,20.15999984741211,164,83.64003753662064,2.595421062506762,Stop Loss
YKBNK,2024-01-12,2024-01-18,21.985374450683597,21.06532287597656,398,-366.1805267334021,-4.184834680759477,Stop Loss
AKBNK,2024-01-16,2024-01-22,39.1834602355957,37.5523796081543,167,-272.39046478271484,-4.1626763375013835,Stop Loss
ISCTR,2024-01-08,2024-01-23,9.719510078430176,9.173988342285156,415,-226.3915205001831,-5.61264643735138,Stop Loss
KCHOL,2024-01-12,2024-01-23,143.0640411376953,139.10792541503906,41,-162.20074462890625,-2.765276089781774,Stop Loss
GARAN,2024-01-16,2024-01-23,58.79515075683594,55.56718063354492,111,-358.30468368530273,-5.490197884926265,Stop Loss
YKBNK,2024-01-18,2024-01-23,21.06532287597656,19.97276306152344,310,-338.69354248046693,-5.186532486995976,Stop Loss
AKBNK,2024-01-22,2024-01-23,37.5523796081543,35.77131271362305,173,-308.12457275390625,-4.74288690388212,Stop Loss
TCELL,2024-01-05,2024-02-07,58.17500686645508,64.68110656738281,72,468.4391784667969,11.183668127213041,Stop Loss
TUPRS,2024-02-07,2024-02-12,127.60425567626952,134.63363647460938,72,506.11541748047057,5.50873539529381,Quick Profit
KOZAL,2024-02-09,2024-02-12,22.13999938964844,22.899999618530277,583,443.08013343811035,3.432702122102018,Quick Profit
ASELS,2024-02-09,2024-02-12,52.014930725097656,53.36273193359375,148,199.47457885742188,2.5911813967787674,Quick Profit
KOZAL,2024-02-09,2024-02-19,22.13999938964844,23.440000534057617,583,757.9006671905499,5.871730714757798,Stop Loss
KCHOL,2024-02-08,2024-02-20,156.49642944335938,162.47659301757812,36,215.285888671875,3.82127796492836,Quick Profit
PETKM,2024-02-19,2024-02-21,24.18000030517578,25.299999237060547,361,404.3196144104004,4.631922736762858,Quick Profit
TUPRS,2024-02-07,2024-02-21,127.60425567626952,136.61842346191406,72,649.0200805664081,7.064159214652993,Stop Loss
ULKER,2024-02-08,2024-02-21,101.0630874633789,96.06546783447266,85,-424.79766845703125,-4.9450494283753015,Stop Loss
EREGL,2024-02-21,2024-02-23,23.800752639770508,22.75359535217285,808,-846.1030883789062,-4.3996814027127895,Stop Loss
ASELS,2024-02-09,2024-02-27,52.014930725097656,63.146728515625,149,1658.6378707885742,21.401158543033787,Stop Loss
PETKM,2024-02-19,2024-02-27,24.18000030517578,23.979999542236328,361,-72.20027542114258,-0.8271330041986911,Stop Loss
KOZAL,2024-02-23,2024-02-27,23.440000534057617,22.0,752,-1082.8804016113281,-6.143346848330228,Stop Loss
MGROS,2024-02-28,2024-02-29,459.27777099609375,476.1718444824219,18,304.09332275390625,3.6783999908569087,Quick Profit
AKSEN,2024-02-19,2024-02-29,37.78492736816406,36.618125915527344,420,-490.0566101074219,-3.088007663129227,Stop Loss
EREGL,2024-02-27,2024-02-29,22.97868537902832,22.274059295654297,685,-482.66886711120605,-3.0664334001330906,Stop Loss
SAHOL,2024-02-07,2024-03-01,75.24491882324219,72.58428192138672,204,-542.7699279785156,-3.5359688646957945,Stop Loss
KCHOL,2024-02-08,2024-03-01,156.49642944335938,152.35630798339844,37,-153.1844940185547,-2.64550537969901,Stop Loss
MGROS,2024-02-28,2024-03-14,459.27777099609375,467.24212646484375,19,151.32275390625,1.7341042766944055,Stop Loss
SAHOL,2024-03-14,2024-03-18,72.91102600097656,70.06366729736328,234,-666.2819366455078,-3.9052511804938037,Stop Loss
KCHOL,2024-03-18,2024-03-19,161.1885528564453,165.97267150878906,52,248.774169921875,2.968026306808828,Quick Profit
YKBNK,2024-03-19,2024-03-20,22.63707733154297,23.38461685180664,341,254.9109764099121,3.3022793062690776,Quick Profit
MGROS,2024-03-15,2024-03-20,466.2767333984375,448.4172973632813,36,-642.9396972656232,-3.830222431427895,Stop Loss
