symbol,entry_date,exit_date,entry_price,exit_price,shares,profit,profit_pct,reason
ASELS,2025-01-02,2025-01-07,73.5,77.30000305175781,157,596.6004791259766,5.17007217926233,Partial TP
AKBNK,2025-01-02,2025-01-07,64.75541687011719,63.33706283569336,690,-978.6642837524414,-2.190324922575487,Stop Loss
YKBNK,2025-01-03,2025-01-07,32.18000030517578,31.18000030517578,1777,-1777.0,-3.1075201694114387,Stop Loss
ISCTR,2025-01-02,2025-01-09,13.845354080200195,14.269089698791504,820,347.46320724487305,3.0604895774914094,Partial TP
ASELS,2025-01-02,2025-01-09,73.5,78.19999694824219,157,737.8995208740234,6.394553671077806,Partial TP
ISCTR,2025-01-02,2025-01-10,13.845354080200195,14.150837898254396,2463,752.4066438675,2.2063994628426653,Stop Loss
AKSEN,2025-01-03,2025-01-13,40.84000015258789,39.79999923706055,25,-26.000022888183594,-2.5465252488777046,Stop Loss
AKBNK,2025-01-07,2025-01-13,63.33706283569336,61.42961120605469,1321,-2519.7436027526855,-3.0115883879663183,Stop Loss
YKBNK,2025-01-07,2025-01-13,31.18000030517578,29.86000061035156,2658,-3508.559188842788,-4.233481981734005,Stop Loss
ASELS,2025-01-02,2025-01-16,73.5,80.25,157,1059.75,9.183673469387756,Partial TP
MGROS,2025-01-03,2025-01-16,522.1886596679688,538.4608154296875,2,32.5443115234375,3.1161449909818657,Partial TP
ISCTR,2025-01-10,2025-01-16,14.150837898254396,13.825644493103027,9098,-2958.609600067153,-2.29805052880638,Stop Loss
ASELS,2025-01-02,2025-01-20,73.5,82.3499984741211,157,1389.4497604370117,12.04081425050489,Partial TP
AKSEN,2025-01-13,2025-01-20,39.79999923706055,40.2599983215332,3953,1818.3763809204102,1.1557766163078695,Stop Loss
ISCTR,2025-01-16,2025-01-21,13.825644493103027,14.40705108642578,3380,1965.154285430901,4.205276604738308,Partial TP
MGROS,2025-01-03,2025-01-22,522.1886596679688,559.6639404296875,2,74.9505615234375,7.176578822210968,Partial TP
ISCTR,2025-01-16,2025-01-22,13.825644493103027,14.61399269104004,3380,2664.616909027107,5.702071960047029,Partial TP
AKSEN,2025-01-20,2025-01-22,40.2599983215332,41.540000915527344,1811,2318.0846977233887,3.1793409025293644,Partial TP
